rdf-schema#label,birthDate,birthYear,deathDate,occupation_label,occupation,Occupation_g,Actor,Politician,Athlete,deathCause_label,deathCause,Cause_of_Death_cat,title
Hans Rehmann,1900-03-20,1900-01-01T00:00:00+02:00,1939-08-10,{Actor|Hans_Rehmann__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Hans_Rehmann__1},['actor'],True,False,False,,,,
Harry Ahlin,1900-04-14,1900-01-01T00:00:00+02:00,1969-07-31,{Actor|Harry_Ahlin__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Harry_Ahlin__1},['actor'],True,False,False,,,,
Helen Gahagan Douglas,1900-11-25,1900-01-01T00:00:00+02:00,1980-06-28,{Actor|Politician},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Politician},"['actor', 'politician']",True,True,True,,,,
Larry Kent (actor),1900-09-15,1900-01-01T00:00:00+02:00,1967-11-07,{Actor|Larry_Kent_(actor)__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Larry_Kent_(actor)__1},['actor'],True,False,False,,,,
Lauro Gazzolo,1900-10-15,1900-01-01T00:00:00+02:00,1970-10-02,{Actor|Lauro_Gazzolo__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Lauro_Gazzolo__1},['actor'],True,False,False,,,,
James Collins (Irish politician),1900-10-30,1900-01-01T00:00:00+02:00,1967-09-01,,,['politician'],False,True,True,,,,
James Cooper (Canadian politician),1900-06-17,1900-01-01T00:00:00+02:00,1979-11-29,,,['politician'],False,True,True,,,,
James Hall (actor),1900-10-22,1900-01-01T00:00:00+02:00,1940-06-07,James_Hall_(actor)__1,http://dbpedia.org/resource/James_Hall_(actor)__1,['actor'],True,False,False,,,,
Eddie Parker,1900-12-12,1900-01-01T00:00:00+02:00,1960-01-20,{Stunt performer|Actor|Eddie_Parker__1},{http://dbpedia.org/resource/Stunt_performer|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Eddie_Parker__1},['actor'],True,False,False,Myocardial infarction,http://dbpedia.org/resource/Myocardial_infarction,Disease,
Edmond Beauchamp,1900-03-03,1900-01-01T00:00:00+02:00,1985-06-03,{Actor|Edmond_Beauchamp__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Edmond_Beauchamp__1},['actor'],True,False,False,,,,
Eduardo De Filippo,1900-05-24,1900-01-01T00:00:00+02:00,1984-10-31,{Actor|Eduardo_De_Filippo__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Eduardo_De_Filippo__1},['actor'],True,False,False,,,,
Edward Marjoribanks (Conservative politician),1900-02-14,1900-01-01T00:00:00+02:00,1932-04-02,,,['politician'],False,True,True,,,,
Arthur Pohl,1900-03-22,1900-01-01T00:00:00+02:00,1970-06-15,{Actor|Arthur_Pohl__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Arthur_Pohl__1},['actor'],True,False,False,,,,
Arthur Rigby (actor),1900-09-27,1900-01-01T00:00:00+02:00,1971-04-25,Arthur_Rigby_(actor)__1,http://dbpedia.org/resource/Arthur_Rigby_(actor)__1,['actor'],True,False,False,,,,
Baden Powell (politician),1900-03-13,1900-01-01T00:00:00+02:00,1955-11-25,,,['politician'],False,True,True,,,,
Oscar Garcia Rivera,1900-11-06,1900-01-01T00:00:00+02:00,1969-02-14,{Lawyer|Politician|New York State Assembly},{http://dbpedia.org/resource/Lawyer|http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/New_York_State_Assembly},['politician'],False,True,True,,,,
Ray Kinney,1900-09-26,1900-01-01T00:00:00+02:00,1972-02-01,{Bandleader|Actor|Musician|Singing|Composer},{http://dbpedia.org/resource/Bandleader|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Musician|http://dbpedia.org/resource/Singing|http://dbpedia.org/resource/Composer},"['actor', 'musician', 'sing']",True,False,False,,,,
Raymond Lovell,1900-04-13,1900-01-01T00:00:00+02:00,1953-10-01,{Actor|Raymond_Lovell__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Raymond_Lovell__1},['actor'],True,False,False,,,,
Albert Davies (politician),1900-05-30,1900-01-01T00:00:00+02:00,1953-01-19,,,['politician'],False,True,True,,,,
Aleksander Żabczyński,1900-07-24,1900-01-01T00:00:00+02:00,1958-05-31,{Actor|Aleksander_%C5%BBabczy%C5%84ski__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Aleksander_%C5%BBabczy%C5%84ski__1},['actor'],True,False,False,,,,
Alfred Holland (politician),1900-01-29,1900-01-01T00:00:00+02:00,1936-08-30,,,['politician'],False,True,True,,,,
Rita Avila,{1900-09-20|1968-06-22},{1900-01-01T00:00:00+02:00|1968-01-01T00:00:00+02:00},,{Actor|Writer|Rita_Avila__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Writer|http://dbpedia.org/resource/Rita_Avila__1},['actor'],True,False,False,,,,
Robert Adair (actor),1900-01-03,1900-01-01T00:00:00+02:00,1954-08-10,,,['actor'],True,False,False,,,,
Robert Jenkins (British politician),1900-09-29,1900-01-01T00:00:00+02:00,1978-01-01T00:00:00+02:00,,,['politician'],False,True,True,,,,
Robert Macfarlane (New Zealand politician),1900-05-17,1900-01-01T00:00:00+02:00,1982-12-02,,,['politician'],False,True,True,,,,
Sun Li-jen,1900-12-08,1900-01-01T00:00:00+02:00,1990-11-19,Politician,http://dbpedia.org/resource/Politician,['politician'],False,True,True,,,,
Susantha de Fonseka,1900-01-01T00:00:00+02:00,1900-01-01T00:00:00+02:00,1963-01-01T00:00:00+02:00,{Politician|Diplomat},{http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Diplomat},['politician'],False,True,True,,,,
Evelyn Laye,1900-07-10,1900-01-01T00:00:00+02:00,1996-02-17,{Actor|Evelyn_Laye__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Evelyn_Laye__1},['actor'],True,False,False,Respiratory failure,http://dbpedia.org/resource/Respiratory_failure,Disease,
Ghislaine Dommanget,1900-10-13,1900-01-01T00:00:00+02:00,1991-04-30,Actor,http://dbpedia.org/resource/Actor,['actor'],True,False,False,,,,
Mona Lisa (actress),{1900-01-01T00:00:00+02:00|1922-06-22},{1900-01-01T00:00:00+02:00|1922-01-01T00:00:00+02:00},,{Actor|Mona_Lisa_(actress)__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Mona_Lisa_(actress)__1},['actor'],True,False,False,,,,
Muthukulam Raghavan Pillai,1900-01-01T00:00:00+02:00,1900-01-01T00:00:00+02:00,1979-01-01T00:00:00+02:00,{Actor|Playwright|Screenwriter|Poet|Muthukulam_Raghavan_Pillai__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Playwright|http://dbpedia.org/resource/Screenwriter|http://dbpedia.org/resource/Poet|http://dbpedia.org/resource/Muthukulam_Raghavan_Pillai__1},['actor'],True,False,False,,,,
Betty Francisco,1900-09-26,1900-01-01T00:00:00+02:00,1950-11-25,{Actor|Betty_Francisco__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Betty_Francisco__1},['actor'],True,False,False,,,,
Viggo Hansteen,1900-09-13,1900-01-01T00:00:00+02:00,1941-09-10,{Lawyer|Politician|Viggo_Hansteen__1},{http://dbpedia.org/resource/Lawyer|http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Viggo_Hansteen__1},['politician'],False,True,True,,,,
Walter Kinsella (actor),1900-08-16,1900-01-01T00:00:00+02:00,1975-05-11,,,['actor'],True,False,False,,,,
Frank Davis (Australian politician),1900-04-13,1900-01-01T00:00:00+02:00,1980-02-28,,,['politician'],False,True,True,,,,
Max Elloy,1900-05-05,1900-01-01T00:00:00+02:00,1975-01-16,{Actor|Max_Elloy__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Max_Elloy__1},['actor'],True,False,False,,,,
Noel Purcell (actor),1900-12-23,1900-01-01T00:00:00+02:00,1985-03-03,Noel_Purcell_(actor)__1,http://dbpedia.org/resource/Noel_Purcell_(actor)__1,['actor'],True,False,False,,,,
Norman Pierce,1900-09-05,1900-01-01T00:00:00+02:00,,{Actor|Norman_Pierce__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Norman_Pierce__1},['actor'],True,False,False,,,,
Howard M. Jones (Louisiana politician),1900-06-11,1900-01-01T00:00:00+02:00,1980-07-24,,,['politician'],False,True,True,,,,
Ian Hunter (actor),1900-06-13,1900-01-01T00:00:00+02:00,{1975-09-22|1975-09-23},Ian_Hunter_(actor)__1,http://dbpedia.org/resource/Ian_Hunter_(actor)__1,['actor'],True,False,False,,,,
Clarence Skinner (politician),1900-01-19,1900-01-01T00:00:00+02:00,1962-04-26,,,['politician'],False,True,True,,,,
Clark Murray (politician),1900-07-24,1900-01-01T00:00:00+02:00,1983-11-28,,,['politician'],False,True,True,,,,
Carlo Lombardi (actor),1900-01-02,1900-01-01T00:00:00+02:00,1984-03-21,Carlo_Lombardi_(actor)__1,http://dbpedia.org/resource/Carlo_Lombardi_(actor)__1,['actor'],True,False,False,,,,
Carlos Casaravilla,1900-10-12,1900-01-01T00:00:00+02:00,1981-02-17,{Actor|Carlos_Casaravilla__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Carlos_Casaravilla__1},['actor'],True,False,False,,,,
Carola Neher,1900-11-02,1900-01-01T00:00:00+02:00,1942-06-26,{Actor|Carola_Neher__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Carola_Neher__1},['actor'],True,False,False,,,,
Catherine Dale Owen,1900-07-28,1900-01-01T00:00:00+02:00,1965-09-07,{Actor|Catherine_Dale_Owen__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Catherine_Dale_Owen__1},['actor'],True,False,False,Stroke,http://dbpedia.org/resource/Stroke,Disease,
Charles Baillie-Hamilton (Conservative politician),1900-05-22,1900-01-01T00:00:00+02:00,1939-04-24,,,['politician'],False,True,True,,,,
Charles Farrell (Irish actor),1900-01-01T00:00:00+02:00,1900-01-01T00:00:00+02:00,1988-01-01T00:00:00+02:00,,,['actor'],True,False,False,,,,
Charles Judd (politician),1900-01-01T00:00:00+02:00,1900-01-01T00:00:00+02:00,1973-01-01T00:00:00+02:00,,,['politician'],False,True,True,,,,
Charles Lamb (actor),1900-11-20,1900-01-01T00:00:00+02:00,1989-03-19,,,['actor'],True,False,False,,,,
Wilfrid Lawson (actor),1900-01-14,1900-01-01T00:00:00+02:00,1966-10-10,Wilfrid_Lawson_(actor)__1,http://dbpedia.org/resource/Wilfrid_Lawson_(actor)__1,['actor'],True,False,False,Myocardial infarction,http://dbpedia.org/resource/Myocardial_infarction,Disease,
William Benton (senator),1900-04-01,1900-01-01T00:00:00+02:00,1973-03-18,,,"['senator', 'politician']",False,True,True,,,,
Clive Evatt,1900-06-06,1900-01-01T00:00:00+02:00,1984-09-15,Politician,http://dbpedia.org/resource/Politician,['politician'],False,True,True,,,,
John Tyrrell (actor),1900-12-07,1900-01-01T00:00:00+02:00,1949-09-20,,,['actor'],True,False,False,,,,
Josef Sieber,1900-04-28,1900-01-01T00:00:00+02:00,1962-12-03,{Actor|Josef_Sieber__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Josef_Sieber__1},['actor'],True,False,False,,,,
Joseph Flores (Guamanian politician),1900-08-12,1900-01-01T00:00:00+02:00,1981-12-18,,,['politician'],False,True,True,,,,
Joseph Green (actor),1900-04-23,1900-01-01T00:00:00+02:00,1996-06-20,,,['actor'],True,False,False,,,,
Keith Watson (politician),1900-08-22,1900-01-01T00:00:00+02:00,1973-01-13,,,['politician'],False,True,True,,,,
Keith Wilson (politician),1900-09-03,1900-01-01T00:00:00+02:00,1987-09-28,,,['politician'],False,True,True,,,,
Jack Livesey,1901-06-11,1901-01-01T00:00:00+02:00,1961-10-12,{Actor|Jack_Livesey__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Jack_Livesey__1},['actor'],True,False,False,,,,
Jack Smith (politician),1901-08-06,1901-01-01T00:00:00+02:00,1967-04-28,,,['politician'],False,True,True,,,,
Erich Fiedler,{1901-01-01T00:00:00+02:00|1901-03-15},1901-01-01T00:00:00+02:00,{1981-01-01T00:00:00+02:00|1981-05-19},{Actor|Erich_Fiedler__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Erich_Fiedler__1},['actor'],True,False,False,,,,
Ernie Shepherd (politician),1901-01-06,1901-01-01T00:00:00+02:00,1958-09-12,,,['politician'],False,True,True,,,,
Thomas Walsh (Irish politician),1901-12-18,1901-01-01T00:00:00+02:00,1956-07-14,,,['politician'],False,True,True,,,,
Magnus Kesster,1901-07-29,1901-01-01T00:00:00+02:00,1975-04-15,{Actor|Magnus_Kesster__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Magnus_Kesster__1},['actor'],True,False,False,,,,
Wolfgang Zilzer,1901-01-20,1901-01-01T00:00:00+02:00,1991-06-26,{Actor|Wolfgang_Zilzer__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Wolfgang_Zilzer__1},['actor'],True,False,False,,,,
Yves Deniaud (actor),1901-12-11,1901-01-01T00:00:00+02:00,1959-12-07,,,['actor'],True,False,False,,,,
Fritiof Billquist,1901-05-05,1901-01-01T00:00:00+02:00,1972-04-21,{Actor|Fritiof_Billquist__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Fritiof_Billquist__1},['actor'],True,False,False,,,,
Gavin Gordon (actor),1901-04-07,1901-01-01T00:00:00+02:00,1983-04-07,,,['actor'],True,False,False,,,,
Geoffrey Green (politician),1901-03-15,1901-01-01T00:00:00+02:00,1959-04-21,,,['politician'],False,True,True,,,,
Patrick Smith (politician),1901-07-17,1901-01-01T00:00:00+02:00,1982-03-18,,,['politician'],False,True,True,,,,
Paul Gauthier (politician),1901-02-21,1901-01-01T00:00:00+02:00,1957-01-01,,,['politician'],False,True,True,,,,
Paul Willis (actor),1901-04-09,1901-01-01T00:00:00+02:00,1960-11-03,,,['actor'],True,False,False,,,,
Pauline Starke,1901-01-10,1901-01-01T00:00:00+02:00,1977-02-03,{Actor|Pauline_Starke__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Pauline_Starke__1},['actor'],True,False,False,,,,
Dina Perbellini,1901-01-14,1901-01-01T00:00:00+02:00,1984-04-02,{Actor|Dina_Perbellini__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Dina_Perbellini__1},['actor'],True,False,False,,,,
Donald Cameron (Alberta politician),1901-03-06,1901-01-01T00:00:00+02:00,1989-02-13,,,['politician'],False,True,True,,,,
Donald Cook (actor),1901-09-26,1901-01-01T00:00:00+02:00,1961-10-01,Donald_Cook_(actor)__1,http://dbpedia.org/resource/Donald_Cook_(actor)__1,['actor'],True,False,False,Myocardial infarction,http://dbpedia.org/resource/Myocardial_infarction,Disease,
Donald Scott (politician),1901-11-13,1901-01-01T00:00:00+02:00,1974-06-18,,,['politician'],False,True,True,,,,
Dorothy Ellicott,1901-01-01T00:00:00+02:00,1901-01-01T00:00:00+02:00,1990-01-01T00:00:00+02:00,{Historian|Nursing|Politician|Gibraltar Museum|Dorothy_Ellicott__1},{http://dbpedia.org/resource/Historian|http://dbpedia.org/resource/Nursing|http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Gibraltar_Museum|http://dbpedia.org/resource/Dorothy_Ellicott__1},"['politician', 'sing']",False,True,True,,,,
Rudolf Slánský,1901-07-31,1901-01-01T00:00:00+02:00,1952-12-03,{Politician|Rudolf_Sl%C3%A1nsk%C3%BD__1},{http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Rudolf_Sl%C3%A1nsk%C3%BD__1},['politician'],False,True,True,,,,
Rudy Vallée,1901-07-28,1901-01-01T00:00:00+02:00,1986-07-03,{Entertainment|Bandleader|Actor|Singing},{http://dbpedia.org/resource/Entertainment|http://dbpedia.org/resource/Bandleader|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing},"['actor', 'sing']",True,False,False,,,,
Mira Zimińska,{1901-01-01T00:00:00+02:00|1901-02-22},1901-01-01T00:00:00+02:00,{1997-01-01T00:00:00+02:00|1997-01-26},{Actor|Mira_Zimi%C5%84ska__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Mira_Zimi%C5%84ska__1},['actor'],True,False,False,,,,
Tsumasaburō Bandō,1901-12-13,1901-01-01T00:00:00+02:00,1953-07-07,{Actor|Tsumasabur%C5%8D_Band%C5%8D__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Tsumasabur%C5%8D_Band%C5%8D__1},['actor'],True,False,False,,,,
Sebastian Kunjukunju Bhagavathar,1901-02-09,1901-01-01T00:00:00+02:00,1985-01-01T00:00:00+02:00,{Actor|Singing|Sebastian_Kunjukunju_Bhagavathar__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing|http://dbpedia.org/resource/Sebastian_Kunjukunju_Bhagavathar__1},"['actor', 'sing']",True,False,False,,,,
Seraj Munir,1901-01-01T00:00:00+02:00,1901-01-01T00:00:00+02:00,1957-01-01T00:00:00+02:00,{Actor|Seraj_Munir__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Seraj_Munir__1},['actor'],True,False,False,,,,
Hans Stüwe,{1901-01-01T00:00:00+02:00|1901-05-14},1901-01-01T00:00:00+02:00,{1976-01-01T00:00:00+02:00|1976-05-13},{Actor|Hans_St%C3%BCwe__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Hans_St%C3%BCwe__1},['actor'],True,False,False,,,,
Harry A. Corey,1901-03-12,1901-01-01T00:00:00+02:00,1989-01-22,{Lumber|Politician|Real estate|Harry_A._Corey__1|Harry_A._Corey__2},{http://dbpedia.org/resource/Lumber|http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Real_estate|http://dbpedia.org/resource/Harry_A._Corey__1|http://dbpedia.org/resource/Harry_A._Corey__2},['politician'],False,True,True,,,,
Harry Halm,1901-01-17,1901-01-01T00:00:00+02:00,1980-01-01T00:00:00+02:00,{Actor|Harry_Halm__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Harry_Halm__1},['actor'],True,False,False,,,,
Harry Knowles (politician),1901-01-25,1901-01-01T00:00:00+02:00,1975-01-01T00:00:00+02:00,,,['politician'],False,True,True,,,,
Helen Ferguson,1901-07-23,1901-01-01T00:00:00+02:00,1977-03-14,{Actor|Publicist|Helen_Ferguson__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Publicist|http://dbpedia.org/resource/Helen_Ferguson__1},['actor'],True,False,False,,,,
Koji Shima,1901-02-16,1901-01-01T00:00:00+02:00,1986-09-10,{Actor|Film director|Screenwriter|Koji_Shima__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Film_director|http://dbpedia.org/resource/Screenwriter|http://dbpedia.org/resource/Koji_Shima__1},['actor'],True,False,False,,,,
Marcelle Chantal,1901-02-09,1901-01-01T00:00:00+02:00,1960-03-11,{Actor|Marcelle_Chantal__1|Marcelle_Chantal__2},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Marcelle_Chantal__1|http://dbpedia.org/resource/Marcelle_Chantal__2},['actor'],True,False,False,,,,
Maria Koppenhöfer,1901-12-11,1901-01-01T00:00:00+02:00,1948-11-29,{Actor|Maria_Koppenh%C3%B6fer__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Maria_Koppenh%C3%B6fer__1},['actor'],True,False,False,,,,
James Dunn (actor),1901-11-02,1901-01-01T00:00:00+02:00,{1967-09-01|1967-09-03},{Actor|Vaudeville|James_Dunn_(actor)__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Vaudeville|http://dbpedia.org/resource/James_Dunn_(actor)__1},['actor'],True,False,False,,,,
James Murray (American actor),1901-02-09,1901-01-01T00:00:00+02:00,1936-07-11,{Actor|James_Murray_(American_actor)__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/James_Murray_(American_actor)__1},['actor'],True,False,False,,,,
James Raglan,1901-01-06,1901-01-01T00:00:00+02:00,1961-11-15,{Actor|James_Raglan__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/James_Raglan__1},['actor'],True,False,False,,,,
Jan Kurnakowicz,1901-01-27,1901-01-01T00:00:00+02:00,1968-10-04,{Actor|Jan_Kurnakowicz__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Jan_Kurnakowicz__1},['actor'],True,False,False,,,,
Jan de Quay,1901-08-26,1901-01-01T00:00:00+02:00,1985-07-04,{Politician|Psychologist|Professor},{http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Psychologist|http://dbpedia.org/resource/Professor},['politician'],False,True,True,,,,
Jaroslav Marvan,{1901-12-11|1911-12-11},{1901-01-01T00:00:00+02:00|1911-01-01T00:00:00+02:00},1974-05-21,{Actor|Jaroslav_Marvan__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Jaroslav_Marvan__1},['actor'],True,False,False,,,,
Edward Chapman (actor),1901-10-13,1901-01-01T00:00:00+02:00,1977-08-09,,,['actor'],True,False,False,,,,
Edward McGuire (politician),1901-01-01T00:00:00+02:00,1901-01-01T00:00:00+02:00,1992-10-27,,,['politician'],False,True,True,,,,
Elena Lunda,1901-02-21,1901-01-01T00:00:00+02:00,1947-12-09,{Actor|Elena_Lunda__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Elena_Lunda__1},['actor'],True,False,False,,,,
John Bannerman Baron Bannerman of Kildonan,1901-09-01,1901-01-01T00:00:00+02:00,1969-05-10,{Politician|Life peer},{http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Life_peer},['politician'],False,True,True,,,,
John Brennan (Irish senator),1901-01-01T00:00:00+02:00,1901-01-01T00:00:00+02:00,1977-08-06,,,"['senator', 'politician']",False,True,True,,,,
John Carew (Irish politician),1901-05-05,1901-01-01T00:00:00+02:00,1968-07-12,,,['politician'],False,True,True,,,,
John George (politician),1901-10-16,1901-01-01T00:00:00+02:00,1972-10-14,,,['politician'],False,True,True,,,,
Anthony Holles (actor),1901-01-17,1901-01-01T00:00:00+02:00,1950-03-04,Actor,http://dbpedia.org/resource/Actor,['actor'],True,False,False,,,,
Anthony Kimmins,1901-11-10,1901-01-01T00:00:00+02:00,1964-01-01T00:00:00+02:00,{Actor|Film director|Playwright|Screenwriter|Film producer|Anthony_Kimmins__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Film_director|http://dbpedia.org/resource/Playwright|http://dbpedia.org/resource/Screenwriter|http://dbpedia.org/resource/Film_producer|http://dbpedia.org/resource/Anthony_Kimmins__1},['actor'],True,False,False,,,,
