rdf-schema#label,birthDate,birthYear,occupation_label,occupation,Occupation_g,Actor,Politician,deathDate,title
Yuichi Nakamura (voice actor),1980-02-20,1980-01-01T00:00:00+02:00,{Voice acting in Japan|Yuichi_Nakamura_(voice_actor)__1},{http://dbpedia.org/resource/Voice_acting_in_Japan|http://dbpedia.org/resource/Yuichi_Nakamura_(voice_actor)__1},['actor'],True,False,,
Zachary Bennett,1980-02-17,1980-01-01T00:00:00+02:00,{Actor|Zachary_Bennett__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Zachary_Bennett__1},['actor'],True,False,,
Zayed Khan,1980-07-05,1980-01-01T00:00:00+02:00,{Actor|Zayed_Khan__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Zayed_Khan__1},['actor'],True,False,,
Zul F,1980-10-24,1980-01-01T00:00:00+02:00,{Actor|Singing|Songwriter},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing|http://dbpedia.org/resource/Songwriter},"['actor', 'sing', 'songwriter']",True,False,,
Friedia Niimura,1980-02-19,1980-01-01T00:00:00+02:00,{Actor|Model (profession)|Friedia_Niimura__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Model_(profession)|http://dbpedia.org/resource/Friedia_Niimura__1},['actor'],True,False,,
Géraldine Nakache,1980-02-16,1980-01-01T00:00:00+02:00,{Actor|G%C3%A9raldine_Nakache__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/G%C3%A9raldine_Nakache__1},['actor'],True,False,,
Pedro Capó,1980-11-14,1980-01-01T00:00:00+02:00,{Actor|Singer-songwriter},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singer-songwriter},"['actor', 'sing', 'songwriter']",True,False,,
Pedro Moreno (actor),{1980-09-14|1981-09-14},{1980-01-01T00:00:00+02:00|1981-01-01T00:00:00+02:00},{Actor|Model (profession)|Pedro_Moreno_(actor)__1|Pedro_Moreno_(actor)__2},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Model_(profession)|http://dbpedia.org/resource/Pedro_Moreno_(actor)__1|http://dbpedia.org/resource/Pedro_Moreno_(actor)__2},['actor'],True,False,,
Penelope Lagos,1980-07-08,1980-01-01T00:00:00+02:00,{Actor|Penelope_Lagos__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Penelope_Lagos__1},['actor'],True,False,,
Deryck Whibley,1980-03-21,1980-01-01T00:00:00+02:00,{Actor|Musician|Record producer|Songwriter},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Musician|http://dbpedia.org/resource/Record_producer|http://dbpedia.org/resource/Songwriter},"['actor', 'musician', 'songwriter']",True,False,,
Desi Arnez Hines II,1980-01-21,1980-01-01T00:00:00+02:00,{Actor|Desi_Arnez_Hines_II__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Desi_Arnez_Hines_II__1},['actor'],True,False,,
Dewi Sandra,1980-04-03,1980-01-01T00:00:00+02:00,{Dance|Actor|Model (profession)|Singing},{http://dbpedia.org/resource/Dance|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Model_(profession)|http://dbpedia.org/resource/Singing},"['actor', 'sing']",True,False,,
Dingdong Dantes,1980-08-02,1980-01-01T00:00:00+02:00,{Actor|Dingdong_Dantes__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Dingdong_Dantes__1},['actor'],True,False,,
Diogo Morgado,1980-01-17,1980-01-01T00:00:00+02:00,{Actor|Model (profession)|Diogo_Morgado__1|Diogo_Morgado__2},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Model_(profession)|http://dbpedia.org/resource/Diogo_Morgado__1|http://dbpedia.org/resource/Diogo_Morgado__2},['actor'],True,False,,
Dominique Swain,1980-08-12,1980-01-01T00:00:00+02:00,{Actor|Dominique_Swain__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Dominique_Swain__1},['actor'],True,False,,
Rocío Marengo,1980-03-25,1980-01-01T00:00:00+02:00,{Actor|Model (profession)|Roc%C3%ADo_Marengo__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Model_(profession)|http://dbpedia.org/resource/Roc%C3%ADo_Marengo__1},['actor'],True,False,,
Rochelle Gadd,1980-08-20,1980-01-01T00:00:00+02:00,{Actor|Rochelle_Gadd__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Rochelle_Gadd__1},['actor'],True,False,,
Rocky Marquette,1980-05-15,1980-01-01T00:00:00+02:00,{Actor|Rocky_Marquette__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Rocky_Marquette__1},['actor'],True,False,,
Romina Arena,1980-05-12,1980-01-01T00:00:00+02:00,{Author|Dance|Actor|Record producer|Screenwriter|Voice-over|Writer|Singing|Music supervisor|Composer|Film producer},{http://dbpedia.org/resource/Author|http://dbpedia.org/resource/Dance|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Record_producer|http://dbpedia.org/resource/Screenwriter|http://dbpedia.org/resource/Voice-over|http://dbpedia.org/resource/Writer|http://dbpedia.org/resource/Singing|http://dbpedia.org/resource/Music_supervisor|http://dbpedia.org/resource/Composer|http://dbpedia.org/resource/Film_producer},"['actor', 'sing']",True,False,,
Rosanne Mulholland,1980-12-31,1980-01-01T00:00:00+02:00,{Actor|Rosanne_Mulholland__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Rosanne_Mulholland__1},['actor'],True,False,,
Rose Venkatesan,1980-01-01T00:00:00+02:00,1980-01-01T00:00:00+02:00,{Radio jockey|Politician|Talk show|Rose_Venkatesan__1},{http://dbpedia.org/resource/Radio_jockey|http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Talk_show|http://dbpedia.org/resource/Rose_Venkatesan__1},['politician'],False,True,,
Roshni Chopra,1980-11-02,1980-01-01T00:00:00+02:00,{Actor|Model (profession)|Television presenter|Roshni_Chopra__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Model_(profession)|http://dbpedia.org/resource/Television_presenter|http://dbpedia.org/resource/Roshni_Chopra__1},['actor'],True,False,,
Russell Kane,1980-08-19,1980-01-01T00:00:00+02:00,{Actor|Writer|Comedian|Russell_Kane__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Writer|http://dbpedia.org/resource/Comedian|http://dbpedia.org/resource/Russell_Kane__1},['actor'],True,False,,
Ryōko Hirosue,1980-07-18,1980-01-01T00:00:00+02:00,{Actor|Singing|Ry%C5%8Dko_Hirosue__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing|http://dbpedia.org/resource/Ry%C5%8Dko_Hirosue__1},"['actor', 'sing']",True,False,,
Ryoo Seung-bum,1980-08-09,1980-01-01T00:00:00+02:00,{Actor|Ryoo_Seung-bum__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Ryoo_Seung-bum__1},['actor'],True,False,,
Michael Absalom,1980-04-13,1980-01-01T00:00:00+02:00,{Actor|Presenter|Weather forecasting|Sports commentator|Michael_Absalom__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Presenter|http://dbpedia.org/resource/Weather_forecasting|http://dbpedia.org/resource/Sports_commentator|http://dbpedia.org/resource/Michael_Absalom__1},['actor'],True,False,,
Michael Urie,1980-08-08,1980-01-01T00:00:00+02:00,{Television director|Television producer|Actor|Television presenter|Michael_Urie__1},{http://dbpedia.org/resource/Television_director|http://dbpedia.org/resource/Television_producer|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Television_presenter|http://dbpedia.org/resource/Michael_Urie__1},['actor'],True,False,,
Michelle McManus,1980-05-08,1980-01-01T00:00:00+02:00,{Disc jockey|Columnist|Actor|Presenter|Singer-songwriter},{http://dbpedia.org/resource/Disc_jockey|http://dbpedia.org/resource/Columnist|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Presenter|http://dbpedia.org/resource/Singer-songwriter},"['actor', 'sing', 'songwriter']",True,False,,
Michelle Williams (singer),1980-07-23,1980-01-01T00:00:00+02:00,{Dance|Actor|Model (profession)|Record producer|Women's National Basketball Association|Singer-songwriter},{http://dbpedia.org/resource/Dance|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Model_(profession)|http://dbpedia.org/resource/Record_producer|http://dbpedia.org/resource/Women's_National_Basketball_Association|http://dbpedia.org/resource/Singer-songwriter},"['actor', 'sing', 'songwriter']",True,False,,
Michelle Ye,1980-02-14,1980-01-01T00:00:00+02:00,Actor,http://dbpedia.org/resource/Actor,['actor'],True,False,,
Ming Dao,1980-02-26,1980-01-01T00:00:00+02:00,{Actor|Model (profession)|Singing},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Model_(profession)|http://dbpedia.org/resource/Singing},"['actor', 'sing']",True,False,,
Miranda Raison,1980-11-18,1980-01-01T00:00:00+02:00,{Actor|Miranda_Raison__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Miranda_Raison__1},['actor'],True,False,,
Tomoko Tabata,1980-12-26,1980-01-01T00:00:00+02:00,{Actor|Tomoko_Tabata__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Tomoko_Tabata__1},['actor'],True,False,,
Tonantzin Esparza,1980-01-18,1980-01-01T00:00:00+02:00,{Actor|Make-up artist|Tonantzin_Esparza__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Make-up_artist|http://dbpedia.org/resource/Tonantzin_Esparza__1},['actor'],True,False,,
Toya Alexis,1980-07-16,1980-01-01T00:00:00+02:00,{Actor|Singer-songwriter},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singer-songwriter},"['actor', 'sing', 'songwriter']",True,False,,
Trenyce,1980-03-31,1980-01-01T00:00:00+02:00,{Actor|Singing},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing},"['actor', 'sing']",True,False,,
Trevor Moore,{1980-04-03|1980-04-04},1980-01-01T00:00:00+02:00,{Actor|Writer|Comedian|Trevor_Moore__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Writer|http://dbpedia.org/resource/Comedian|http://dbpedia.org/resource/Trevor_Moore__1},['actor'],True,False,,
Trupti Bhoir,{1980-05-17|1981-01-01T00:00:00+02:00},{1980-01-01T00:00:00+02:00|1981-01-01T00:00:00+02:00},{Actor|Film producer|Trupti_Bhoir__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Film_producer|http://dbpedia.org/resource/Trupti_Bhoir__1},['actor'],True,False,,
Tyler Thompson,1980-10-15,1980-01-01T00:00:00+02:00,{Actor|Tyler_Thompson__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Tyler_Thompson__1},['actor'],True,False,,
Shamari Fears,1980-02-22,1980-01-01T00:00:00+02:00,{Actor|Singing|Songwriter},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing|http://dbpedia.org/resource/Songwriter},"['actor', 'sing', 'songwriter']",True,False,,
Sharon Luk,1980-12-29,1980-01-01T00:00:00+02:00,Actor,http://dbpedia.org/resource/Actor,['actor'],True,False,,
Shatha Hassoun,{1980-01-01T00:00:00+02:00|1980-09-15},1980-01-01T00:00:00+02:00,{Dance|Actor|Musician|Writer|Singing|Songwriter},{http://dbpedia.org/resource/Dance|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Musician|http://dbpedia.org/resource/Writer|http://dbpedia.org/resource/Singing|http://dbpedia.org/resource/Songwriter},"['actor', 'musician', 'sing', 'songwriter']",True,False,,
Shela (Japanese singer),1980-03-04,1980-01-01T00:00:00+02:00,{Actor|Singing},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing},"['actor', 'sing']",True,False,,
Sheryn Regis,{1980-11-26|1981-11-26},1981-01-01T00:00:00+02:00,{Actor|Singer-songwriter},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singer-songwriter},"['actor', 'sing', 'songwriter']",True,False,,
Silvana Arias,{1980-04-07|1982-04-07},{1980-01-01T00:00:00+02:00|1982-01-01T00:00:00+02:00},{Actor|Voice acting|Silvana_Arias__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Voice_acting|http://dbpedia.org/resource/Silvana_Arias__1},['actor'],True,False,,
Smita,1980-09-04,1980-01-01T00:00:00+02:00,{Actor|Business|News presenter|Singing},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Business|http://dbpedia.org/resource/News_presenter|http://dbpedia.org/resource/Singing},"['actor', 'sing']",True,False,,
Son Hoyoung,1980-03-26,1980-01-01T00:00:00+02:00,{Dance|Actor|Singing},{http://dbpedia.org/resource/Dance|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing},"['actor', 'sing']",True,False,,
Son Tae-young,1980-08-19,1980-01-01T00:00:00+02:00,{Actor|Son_Tae-young__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Son_Tae-young__1},['actor'],True,False,,
Song Jia (1980),1980-11-13,1980-01-01T00:00:00+02:00,Actor,http://dbpedia.org/resource/Actor,['actor'],True,False,,
Sonja Kolačarić,1980-05-04,1980-01-01T00:00:00+02:00,{Actor|Sonja_Kola%C4%8Dari%C4%87__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Sonja_Kola%C4%8Dari%C4%87__1},['actor'],True,False,,
Sophia Myles,1980-03-18,1980-01-01T00:00:00+02:00,{Actor|Sophia_Myles__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Sophia_Myles__1},['actor'],True,False,,
Sprague Grayden,1980-07-21,1980-01-01T00:00:00+02:00,{Actor|Sprague_Grayden__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Sprague_Grayden__1},['actor'],True,False,,
Srinagar Kitty,1980-07-09,1980-01-01T00:00:00+02:00,{Actor|Srinagar_Kitty__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Srinagar_Kitty__1},['actor'],True,False,,
Srujan Lokesh,1980-06-28,1980-01-01T00:00:00+02:00,{Actor|Radio producer|Srujan_Lokesh__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Radio_producer|http://dbpedia.org/resource/Srujan_Lokesh__1},['actor'],True,False,,
Stacey Oristano,1980-05-06,1980-01-01T00:00:00+02:00,{Actor|Stacey_Oristano__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Stacey_Oristano__1},['actor'],True,False,,
Stas Piekha,1980-08-13,1980-01-01T00:00:00+02:00,{Actor|Singing},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing},"['actor', 'sing']",True,False,,
Steven O'Donnell (Australian actor),1980-12-05,1980-01-01T00:00:00+02:00,Steven_O'Donnell_(Australian_actor)__1,http://dbpedia.org/resource/Steven_O'Donnell_(Australian_actor)__1,['actor'],True,False,,
Harman Baweja,1980-11-13,1980-01-01T00:00:00+02:00,{Actor|Harman_Baweja__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Harman_Baweja__1},['actor'],True,False,,
Koneenica Banerjee,1980-05-21,1980-01-01T00:00:00+02:00,{Actor|Koneenica_Banerjee__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Koneenica_Banerjee__1},['actor'],True,False,,
Kulraj Randhawa,1980-05-16,1980-01-01T00:00:00+02:00,{Actor|Kulraj_Randhawa__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Kulraj_Randhawa__1},['actor'],True,False,,
Lai Lok-yi,1980-06-15,1980-01-01T00:00:00+02:00,Actor,http://dbpedia.org/resource/Actor,['actor'],True,False,,
Laila Mehdin,1980-10-24,1980-01-01T00:00:00+02:00,{Actor|Laila_Mehdin__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Laila_Mehdin__1},['actor'],True,False,,
Lara Pulver,1980-09-01,1980-01-01T00:00:00+02:00,{Actor|Lara_Pulver__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Lara_Pulver__1},['actor'],True,False,,
Laura Patch,1980-06-21,1980-01-01T00:00:00+02:00,{Actor|Laura_Patch__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Laura_Patch__1},['actor'],True,False,,
Laura Sadler,1980-12-25,1980-01-01T00:00:00+02:00,{Actor|Laura_Sadler__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Laura_Sadler__1},['actor'],True,False,2003-06-19,
