rdf-schema#label,birthDate,birthYear,Occupation_g,Actor,Politician,Athlete,Business_person,Cause_of_Death_cat,deathDate,occupation_label,occupation,title,deathCause_label,deathCause,salary
Grace Hartman (politician),1900-01-01T00:00:00+02:00,1900-01-01T00:00:00+02:00,"['politician', 'athlete']",False,True,True,False,Unknown,1998-05-23,,,,,,
Grace Morley,1900-01-01T00:00:00+02:00,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1985-01-01T00:00:00+02:00,,,,,,
Grace Tully,1900-08-09,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1984-06-15,,,,,,
Grace Wyndham Goldie,1900-03-26,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1986-06-03,Grace_Wyndham_Goldie__1,http://dbpedia.org/resource/Grace_Wyndham_Goldie__1,Head of BBC Television Talks later Head of BBC News & Current Affairs,,,
H. O. West,1900-05-19,1900-01-01T00:00:00+02:00,['business person'],False,False,False,True,Unknown,1981-08-20,{Business|H._O._West__1},{http://dbpedia.org/resource/Business|http://dbpedia.org/resource/H._O._West__1},,,,
Hal Griggs (American football),1900-11-27,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1987-12-29,,,,,,
Hal Weafer,1900-03-27,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1978-08-23,{Umpire (baseball)|Hal_Weafer__1},{http://dbpedia.org/resource/Umpire_(baseball)|http://dbpedia.org/resource/Hal_Weafer__1},,,,
Wolfgang Heinz (actor),{1900-04-18|1900-05-18},1900-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1984-10-30,Wolfgang_Heinz_(actor)__1,http://dbpedia.org/resource/Wolfgang_Heinz_(actor)__1,,,,
Zuzka Zguriška,1900-04-13,1900-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1984-09-24,{Actor|Novelist|Playwright|Translation},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Novelist|http://dbpedia.org/resource/Playwright|http://dbpedia.org/resource/Translation},,,,
Fred C. Koch,1900-09-23,1900-01-01T00:00:00+02:00,['business person'],False,False,False,True,Unknown,1967-11-17,{Chemical engineer|Businessperson|Fred_C._Koch__1},{http://dbpedia.org/resource/Chemical_engineer|http://dbpedia.org/resource/Businessperson|http://dbpedia.org/resource/Fred_C._Koch__1},,,,
Fred Ellis (footballer),1900-10-07,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1970-01-01T00:00:00+02:00,,,,,,
Fred Emery (footballer),1900-05-19,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1959-01-01T00:00:00+02:00,,,,,,
Fred Graham (American football),1900-12-11,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1952-08-29,,,,,,
Fred Green (Australian politician),1900-11-12,1900-01-01T00:00:00+02:00,['politician'],False,True,False,False,Unknown,1983-09-15,,,,,,
Fred Williams (Australian footballer born 1900),1900-01-29,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1975-03-07,,,,,,
Frederick Barton (pentathlete),1900-06-19,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1993-01-01T00:00:00+02:00,,,,,,
Fritz Feld,1900-10-15,1900-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1993-11-18,{Actor|Fritz_Feld__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Fritz_Feld__1},,,,
Fritz Walter (football executive),1900-03-15,1900-01-01T00:00:00+02:00,"['athlete', 'business person']",False,False,True,True,Unknown,1981-01-05,,,,,,
Günther Ballier,1900-10-18,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1980-04-20,G%C3%BCnther_Ballier__1,http://dbpedia.org/resource/G%C3%BCnther_Ballier__1,,,,
Gavin Muir (American actor),1900-01-01T00:00:00+02:00,1900-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1972-01-01T00:00:00+02:00,,,,,,
Georg Funkquist,1900-03-13,1900-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1986-10-23,{Actor|Georg_Funkquist__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Georg_Funkquist__1},,,,
Georg Skarstedt,1900-01-31,1900-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1976-12-08,{Actor|Georg_Skarstedt__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Georg_Skarstedt__1},,,,
Patrick Grace (politician),1900-10-31,1900-01-01T00:00:00+02:00,"['politician', 'athlete']",False,True,True,False,Unknown,1975-01-06,,,,,,
Denmei Suzuki,1900-03-01,1900-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1985-05-13,{Actor|Denmei_Suzuki__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Denmei_Suzuki__1},,,,
Dick Wolf (American football),{1900-08-22|1900-08-29},1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1967-06-28,,,,,,
Roger Maxwell (actor),1900-01-01,1900-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1971-11-24,,,,,,
Roland Culver,1900-08-31,1900-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1984-03-01,{Actor|Roland_Culver__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Roland_Culver__1},,,,
Rollie Free,1900-11-18,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1984-10-11,{Motorcycle sport|Rollie_Free__1},{http://dbpedia.org/resource/Motorcycle_sport|http://dbpedia.org/resource/Rollie_Free__1},,,,
Roy Spencer (baseball),1900-02-22,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1973-02-08,,,,,,
Russ Miller (baseball),1900-03-25,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1962-04-30,,,,,,
Michael Donnellan (politician),1900-01-01T00:00:00+02:00,1900-01-01T00:00:00+02:00,['politician'],False,True,False,False,Unknown,1964-09-27,,,,,,
Michael J. Kennedy (melodeon player),1900-01-01T00:00:00+02:00,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1978-01-01T00:00:00+02:00,,,,,,
Michael Quinn (Australian politician),1900-10-23,1900-01-01T00:00:00+02:00,['politician'],False,True,False,False,Unknown,1965-07-12,,,,,,
Mickey O'Neil (baseball),1900-04-12,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1964-04-08,,,,,,
Tom Sloan (footballer born 1900),1900-09-11,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,,,,,,,
Tom Smith (footballer born 1900),1900-10-18,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1934-02-21,,,,,,
Tommy Ball,1900-02-11,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1923-11-11,,,,,,
Tommy Johnson (footballer born 1900),1900-08-19,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1973-01-28,,,,,,
Tommy Roe (footballer),1900-12-08,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1972-01-01T00:00:00+02:00,,,,,,
Hans Rehmann,1900-03-20,1900-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1939-08-10,{Actor|Hans_Rehmann__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Hans_Rehmann__1},,,,
Harry Ahlin,1900-04-14,1900-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1969-07-31,{Actor|Harry_Ahlin__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Harry_Ahlin__1},,,,
Harry Baldwin (baseball),1900-06-03,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1958-01-23,,,,,,
Harry Hooper (footballer born 1900),1900-08-18,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1963-01-01T00:00:00+02:00,,,,,,
Harry Peel (footballer),1900-03-26,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1976-01-01T00:00:00+02:00,,,,,,
Harry Wright (footballer born 1900),1900-04-05,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,,,,,,,
Harvey Hancock,1900-01-02,1900-01-01T00:00:00+02:00,['business person'],False,False,False,True,Unknown,1996-01-08,{Chief executive officer|Journalist|Political consulting|Harvey_Hancock__1},{http://dbpedia.org/resource/Chief_executive_officer|http://dbpedia.org/resource/Journalist|http://dbpedia.org/resource/Political_consulting|http://dbpedia.org/resource/Harvey_Hancock__1},,,,
Heinrich Weber (footballer),1900-06-21,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1977-01-22,,,,,,
Helen Gahagan Douglas,1900-11-25,1900-01-01T00:00:00+02:00,"['actor', 'politician']",True,True,False,False,Unknown,1980-06-28,{Actor|Politician},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Politician},,,,
Herb Welch (baseball),1900-10-19,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1967-04-13,,,,,,
Knud Andersen (footballer),1900-07-02,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1967-01-09,,,,,,
Larry Kent (actor),1900-09-15,1900-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1967-11-07,{Actor|Larry_Kent_(actor)__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Larry_Kent_(actor)__1},,,,
Lauro Gazzolo,1900-10-15,1900-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1970-10-02,{Actor|Lauro_Gazzolo__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Lauro_Gazzolo__1},,,,
Lawrence Kimball,1900-01-01T00:00:00+02:00,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1971-01-01T00:00:00+02:00,,,,,,
Lee Beom-seok (prime minister),1900-10-20,1900-01-01T00:00:00+02:00,['politician'],False,True,False,False,Unknown,1972-05-11,,,,,,
Marcel Renaud (cyclist),1900-09-28,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1968-06-17,,,,,,
James Collins (Irish politician),1900-10-30,1900-01-01T00:00:00+02:00,['politician'],False,True,False,False,Unknown,1967-09-01,,,,,,
James Connolly (athlete born 1901),1900-01-04,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1940-09-30,,,,,,
James Cooper (Canadian politician),1900-06-17,1900-01-01T00:00:00+02:00,['politician'],False,True,False,False,Unknown,1979-11-29,,,,,,
James Dunn (Scottish footballer),1900-11-25,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1963-08-20,,,,,,
James Hall (actor),1900-10-22,1900-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1940-06-07,James_Hall_(actor)__1,http://dbpedia.org/resource/James_Hall_(actor)__1,,,,
James Maxwell (footballer),1900-01-01T00:00:00+02:00,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,,,,,,,
Jan Maas (cyclist),1900-06-17,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1977-09-05,,,,,,
Earl Evans (American football),1900-04-14,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1991-12-05,,,,,,
Ed Doherty (baseball executive),1900-01-01T00:00:00+02:00,1900-01-01T00:00:00+02:00,"['athlete', 'business person']",False,False,True,True,Unknown,1971-01-01T00:00:00+02:00,,,,,,
Ed Wells (baseball),1900-06-07,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1986-05-01,,,,,,
Eddie Anderson (American football coach),1900-11-11,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1974-04-24,,,,,,
Eddie Fuller (English footballer),1900-01-01T00:00:00+02:00,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,,,,,,,
Eddie Parker,1900-12-12,1900-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1960-01-20,{Stunt performer|Actor|Eddie_Parker__1},{http://dbpedia.org/resource/Stunt_performer|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Eddie_Parker__1},,Myocardial infarction,http://dbpedia.org/resource/Myocardial_infarction,
Edmond Beauchamp,1900-03-03,1900-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1985-06-03,{Actor|Edmond_Beauchamp__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Edmond_Beauchamp__1},,,,
Edmund Hansen (cyclist),1900-09-09,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1995-05-26,,,,,,
Edmund Harvey (footballer),1900-09-08,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,,,,,,,
Eduardo De Filippo,1900-05-24,1900-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1984-10-31,{Actor|Eduardo_De_Filippo__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Eduardo_De_Filippo__1},,,,
Edward Marjoribanks (Conservative politician),1900-02-14,1900-01-01T00:00:00+02:00,['politician'],False,True,False,False,Unknown,1932-04-02,,,,,,
Joe Bennett (baseball),1900-07-02,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1987-07-11,,,,,,
Joe Scott (footballer),1900-07-06,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1962-01-01T00:00:00+02:00,,,,,,
Johan Støa (sportsperson),1900-06-13,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1991-10-29,,,,,,
John Addenbrooke (footballer),1900-01-01T00:00:00+02:00,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1961-01-01T00:00:00+02:00,,,,,,
John Ball (footballer born 1900),1900-09-29,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1989-01-01T00:00:00+02:00,,,,,,
John Beckwith (baseball),1900-01-10,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1956-01-04,,,,,,
John Black (footballer born 1900),1900-05-26,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1993-01-01T00:00:00+02:00,,,,,,
John Bogart (baseball),1900-09-21,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1986-12-07,,,,,,
John Carruthers (footballer),1900-01-01T00:00:00+02:00,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1959-01-01T00:00:00+02:00,,,,,,
John Cavanaugh (baseball),1900-06-05,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1961-01-14,,,,,,
John Comer (American football),1900-06-10,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1950-06-28,,,,,,
John Cull (footballer),1900-11-18,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1964-01-01T00:00:00+02:00,,,,,,
John Evans (footballer born 1900),1900-02-12,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,,,,,,,
John Gillespie (baseball),1900-02-25,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1954-02-15,,,,,,
John Hammerton (footballer),1900-03-22,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1978-06-15,,,,,,
John Lindsay (footballer born 1900),1900-01-01T00:00:00+02:00,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,,,,,,,
John McDonald (American football),1900-03-20,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,,,,,,,
John McGregor (footballer born 1900),1900-08-02,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1993-12-09,,,,,,
Joseph Tabarlet,1900-11-04,1900-01-01T00:00:00+02:00,"['politician', 'business person']",False,True,False,True,Unknown,1951-05-27,{Business|Mayor|Joseph_Tabarlet__1|Joseph_Tabarlet__2},{http://dbpedia.org/resource/Business|http://dbpedia.org/resource/Mayor|http://dbpedia.org/resource/Joseph_Tabarlet__1|http://dbpedia.org/resource/Joseph_Tabarlet__2},,,,
Juan Carlos Caballero Vega,1900-06-24,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,2010-03-30,,,,,,
Jumbo Elliott (baseball),1900-10-22,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1970-01-07,,,,,,
Arthur Pohl,1900-03-22,1900-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1970-06-15,{Actor|Arthur_Pohl__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Arthur_Pohl__1},,,,
Arthur Rigby (actor),1900-09-27,1900-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1971-04-25,Arthur_Rigby_(actor)__1,http://dbpedia.org/resource/Arthur_Rigby_(actor)__1,,,,
Baden Powell (politician),1900-03-13,1900-01-01T00:00:00+02:00,['politician'],False,True,False,False,Unknown,1955-11-25,,,,,,
Angus MacIsaac (footballer),1900-04-15,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1944-06-23,,,,,,
Anthony Young (cyclist),1900-04-07,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1970-01-01T00:00:00+02:00,,,,,,
Antonín Svoboda (athlete),1900-01-12,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1965-10-29,,,,,,
Arne Andersen (footballer),1900-04-21,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1986-10-26,,,,,,
Art Carney (American football),1900-09-23,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,,,,,,,
Arthur Briggs (footballer),1900-05-27,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1987-03-12,,,,,,
Oscar Garcia Rivera,1900-11-06,1900-01-01T00:00:00+02:00,['politician'],False,True,False,False,Unknown,1969-02-14,{Lawyer|Politician|New York State Assembly},{http://dbpedia.org/resource/Lawyer|http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/New_York_State_Assembly},,,,
Otto Passman,1900-06-27,1900-01-01T00:00:00+02:00,['business person'],False,False,False,True,Unknown,{1987-08-13|1988-08-13},Business,http://dbpedia.org/resource/Business,,,,
Ralph J. Cordiner,1900-01-01T00:00:00+02:00,1900-01-01T00:00:00+02:00,['business person'],False,False,False,True,Unknown,,{General Electric|Chief executive officer|Chairman|Ralph_J._Cordiner__1|Ralph_J._Cordiner__2},{http://dbpedia.org/resource/General_Electric|http://dbpedia.org/resource/Chief_executive_officer|http://dbpedia.org/resource/Chairman|http://dbpedia.org/resource/Ralph_J._Cordiner__1|http://dbpedia.org/resource/Ralph_J._Cordiner__2},,,,
Ralph Williams (athlete),1900-08-24,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,,,,,,,
Ray Harper (footballer),1900-07-26,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1935-03-10,,,,,,
Ray Kinney,1900-09-26,1900-01-01T00:00:00+02:00,"['actor', 'musician', 'sing']",True,False,False,False,Unknown,1972-02-01,{Bandleader|Actor|Musician|Singing|Composer},{http://dbpedia.org/resource/Bandleader|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Musician|http://dbpedia.org/resource/Singing|http://dbpedia.org/resource/Composer},,,,
Raymond Lovell,1900-04-13,1900-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1953-10-01,{Actor|Raymond_Lovell__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Raymond_Lovell__1},,,,
Red Roberts (American football),1900-08-23,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1945-06-27,,,,,,
Reg Watson (footballer),1900-08-26,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1971-01-01T00:00:00+02:00,,,,,,
Prince Henry Duke of Gloucester,1900-03-31,1900-01-01T00:00:00+02:00,"['prince', 'politician']",False,True,False,False,Unknown,1974-06-10,{Governor-General of Australia|Military},{http://dbpedia.org/resource/Governor-General_of_Australia|http://dbpedia.org/resource/Military},,,,
Al Michaels (American football),1900-04-01,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1972-10-21,,,,,,
Al Trace,1900-12-25,1900-01-01T00:00:00+02:00,"['musician', 'songwriter', 'athlete']",False,False,True,False,Unknown,1993-08-31,{Baseball|Musician|Songwriter},{http://dbpedia.org/resource/Baseball|http://dbpedia.org/resource/Musician|http://dbpedia.org/resource/Songwriter},,,,
Al Williamson (baseball),1900-02-20,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1978-11-29,,,,,,
Albert Davies (politician),1900-05-30,1900-01-01T00:00:00+02:00,['politician'],False,True,False,False,Unknown,1953-01-19,,,,,,
Albert Smith (footballer born 1900),1900-04-22,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,,,,,,,
Aleksander Żabczyński,1900-07-24,1900-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1958-05-31,{Actor|Aleksander_%C5%BBabczy%C5%84ski__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Aleksander_%C5%BBabczy%C5%84ski__1},,,,
Alf Young (footballer born 1900),1900-11-27,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1975-07-31,,,,,,
Alfred Holland (politician),1900-01-29,1900-01-01T00:00:00+02:00,['politician'],False,True,False,False,Unknown,1936-08-30,,,,,,
Alfred Jones (footballer born 1900),1900-01-10,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1959-01-01T00:00:00+02:00,,,,,,
Richard Jackson (footballer born 1900),1900-07-04,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1981-01-01T00:00:00+02:00,,,,,,
Richard O'Donnell (American football),1900-07-31,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,,,,,,,
Rita Avila,{1900-09-20|1968-06-22},{1900-01-01T00:00:00+02:00|1968-01-01T00:00:00+02:00},['actor'],True,False,False,False,Unknown,,{Actor|Writer|Rita_Avila__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Writer|http://dbpedia.org/resource/Rita_Avila__1},,,,
Robert Adair (actor),1900-01-03,1900-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1954-08-10,,,,,,
Robert Ireland (footballer),1900-07-22,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,,,,,,,
Robert Jenkins (British politician),1900-09-29,1900-01-01T00:00:00+02:00,['politician'],False,True,False,False,Unknown,1978-01-01T00:00:00+02:00,,,,,,
Robert Macfarlane (New Zealand politician),1900-05-17,1900-01-01T00:00:00+02:00,['politician'],False,True,False,False,Unknown,1982-12-02,,,,,,
Robert Radford (footballer),1900-01-19,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1970-01-01T00:00:00+02:00,,,,,,
Sun Li-jen,1900-12-08,1900-01-01T00:00:00+02:00,['politician'],False,True,False,False,Unknown,1990-11-19,Politician,http://dbpedia.org/resource/Politician,,,,
Susantha de Fonseka,1900-01-01T00:00:00+02:00,1900-01-01T00:00:00+02:00,['politician'],False,True,False,False,Unknown,1963-01-01T00:00:00+02:00,{Politician|Diplomat},{http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Diplomat},,,,
Syl Johnson (baseball),1900-12-31,1900-01-01T00:00:00+02:00,['athlete'],False,False,True,False,Unknown,1985-02-20,,,,,,
Evelyn Laye,1900-07-10,1900-01-01T00:00:00+02:00,['actor'],True,False,False,False,Unknown,1996-02-17,{Actor|Evelyn_Laye__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Evelyn_Laye__1},,Respiratory failure,http://dbpedia.org/resource/Respiratory_failure,
