rdf-schema#label,birthDate,birthYear,deathDate,occupation_label,occupation,Occupation_g,Actor,Politician,title
Georg Funkquist,1900-03-13,1900-01-01T00:00:00+02:00,1986-10-23,{Actor|Georg_Funkquist__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Georg_Funkquist__1},['actor'],True,False,
Georg Skarstedt,1900-01-31,1900-01-01T00:00:00+02:00,1976-12-08,{Actor|Georg_Skarstedt__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Georg_Skarstedt__1},['actor'],True,False,
Denmei Suzuki,1900-03-01,1900-01-01T00:00:00+02:00,1985-05-13,{Actor|Denmei_Suzuki__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Denmei_Suzuki__1},['actor'],True,False,
Roland Culver,1900-08-31,1900-01-01T00:00:00+02:00,1984-03-01,{Actor|Roland_Culver__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Roland_Culver__1},['actor'],True,False,
Hans Rehmann,1900-03-20,1900-01-01T00:00:00+02:00,1939-08-10,{Actor|Hans_Rehmann__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Hans_Rehmann__1},['actor'],True,False,
Harry Ahlin,1900-04-14,1900-01-01T00:00:00+02:00,1969-07-31,{Actor|Harry_Ahlin__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Harry_Ahlin__1},['actor'],True,False,
Helen Gahagan Douglas,1900-11-25,1900-01-01T00:00:00+02:00,1980-06-28,{Actor|Politician},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Politician},"['actor', 'politician']",True,True,
Henry Sturgis Morgan,1900-10-24,1900-01-01T00:00:00+02:00,1982-02-08,Henry_Sturgis_Morgan__1,http://dbpedia.org/resource/Henry_Sturgis_Morgan__1,['president'],False,True,President & Chairman of TheMorgan Library & Museum
Larry Kent (actor),1900-09-15,1900-01-01T00:00:00+02:00,1967-11-07,{Actor|Larry_Kent_(actor)__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Larry_Kent_(actor)__1},['actor'],True,False,
Lauro Gazzolo,1900-10-15,1900-01-01T00:00:00+02:00,1970-10-02,{Actor|Lauro_Gazzolo__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Lauro_Gazzolo__1},['actor'],True,False,
James Hall (actor),1900-10-22,1900-01-01T00:00:00+02:00,1940-06-07,James_Hall_(actor)__1,http://dbpedia.org/resource/James_Hall_(actor)__1,['actor'],True,False,
Eddie Parker,1900-12-12,1900-01-01T00:00:00+02:00,1960-01-20,{Stunt performer|Actor|Eddie_Parker__1},{http://dbpedia.org/resource/Stunt_performer|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Eddie_Parker__1},['actor'],True,False,
Edmond Beauchamp,1900-03-03,1900-01-01T00:00:00+02:00,1985-06-03,{Actor|Edmond_Beauchamp__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Edmond_Beauchamp__1},['actor'],True,False,
Eduardo De Filippo,1900-05-24,1900-01-01T00:00:00+02:00,1984-10-31,{Actor|Eduardo_De_Filippo__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Eduardo_De_Filippo__1},['actor'],True,False,
Arthur Pohl,1900-03-22,1900-01-01T00:00:00+02:00,1970-06-15,{Actor|Arthur_Pohl__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Arthur_Pohl__1},['actor'],True,False,
Arthur Rigby (actor),1900-09-27,1900-01-01T00:00:00+02:00,1971-04-25,Arthur_Rigby_(actor)__1,http://dbpedia.org/resource/Arthur_Rigby_(actor)__1,['actor'],True,False,
Oscar Garcia Rivera,1900-11-06,1900-01-01T00:00:00+02:00,1969-02-14,{Lawyer|Politician|New York State Assembly},{http://dbpedia.org/resource/Lawyer|http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/New_York_State_Assembly},['politician'],False,True,
Ray Kinney,1900-09-26,1900-01-01T00:00:00+02:00,1972-02-01,{Bandleader|Actor|Musician|Singing|Composer},{http://dbpedia.org/resource/Bandleader|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Musician|http://dbpedia.org/resource/Singing|http://dbpedia.org/resource/Composer},"['actor', 'musician', 'sing']",True,False,
Raymond Gushue,1900-06-20,1900-01-01T00:00:00+02:00,1980-12-18,,,['president'],False,True,President and Vice-Chancellor of Memorial University of Newfoundland
Raymond Lovell,1900-04-13,1900-01-01T00:00:00+02:00,1953-10-01,{Actor|Raymond_Lovell__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Raymond_Lovell__1},['actor'],True,False,
Aleksander Żabczyński,1900-07-24,1900-01-01T00:00:00+02:00,1958-05-31,{Actor|Aleksander_%C5%BBabczy%C5%84ski__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Aleksander_%C5%BBabczy%C5%84ski__1},['actor'],True,False,
Rita Avila,{1900-09-20|1968-06-22},{1900-01-01T00:00:00+02:00|1968-01-01T00:00:00+02:00},,{Actor|Writer|Rita_Avila__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Writer|http://dbpedia.org/resource/Rita_Avila__1},['actor'],True,False,
Sun Li-jen,1900-12-08,1900-01-01T00:00:00+02:00,1990-11-19,Politician,http://dbpedia.org/resource/Politician,['politician'],False,True,
Susantha de Fonseka,1900-01-01T00:00:00+02:00,1900-01-01T00:00:00+02:00,1963-01-01T00:00:00+02:00,{Politician|Diplomat},{http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Diplomat},['politician'],False,True,
Evelyn Laye,1900-07-10,1900-01-01T00:00:00+02:00,1996-02-17,{Actor|Evelyn_Laye__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Evelyn_Laye__1},['actor'],True,False,
Ghislaine Dommanget,1900-10-13,1900-01-01T00:00:00+02:00,1991-04-30,Actor,http://dbpedia.org/resource/Actor,['actor'],True,False,
Mona Lisa (actress),{1900-01-01T00:00:00+02:00|1922-06-22},{1900-01-01T00:00:00+02:00|1922-01-01T00:00:00+02:00},,{Actor|Mona_Lisa_(actress)__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Mona_Lisa_(actress)__1},['actor'],True,False,
Muthukulam Raghavan Pillai,1900-01-01T00:00:00+02:00,1900-01-01T00:00:00+02:00,1979-01-01T00:00:00+02:00,{Actor|Playwright|Screenwriter|Poet|Muthukulam_Raghavan_Pillai__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Playwright|http://dbpedia.org/resource/Screenwriter|http://dbpedia.org/resource/Poet|http://dbpedia.org/resource/Muthukulam_Raghavan_Pillai__1},['actor'],True,False,
Betty Francisco,1900-09-26,1900-01-01T00:00:00+02:00,1950-11-25,{Actor|Betty_Francisco__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Betty_Francisco__1},['actor'],True,False,
Viggo Hansteen,1900-09-13,1900-01-01T00:00:00+02:00,1941-09-10,{Lawyer|Politician|Viggo_Hansteen__1},{http://dbpedia.org/resource/Lawyer|http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Viggo_Hansteen__1},['politician'],False,True,
Max Elloy,1900-05-05,1900-01-01T00:00:00+02:00,1975-01-16,{Actor|Max_Elloy__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Max_Elloy__1},['actor'],True,False,
Nelson Glueck,1900-06-04,1900-01-01T00:00:00+02:00,1971-02-12,{Rabbi|Archaeology|Nelson_Glueck__1},{http://dbpedia.org/resource/Rabbi|http://dbpedia.org/resource/Archaeology|http://dbpedia.org/resource/Nelson_Glueck__1},['president'],False,True,President Hebrew Union College - Jewish Institute of Religion
Noel Purcell (actor),1900-12-23,1900-01-01T00:00:00+02:00,1985-03-03,Noel_Purcell_(actor)__1,http://dbpedia.org/resource/Noel_Purcell_(actor)__1,['actor'],True,False,
Norman Pierce,1900-09-05,1900-01-01T00:00:00+02:00,,{Actor|Norman_Pierce__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Norman_Pierce__1},['actor'],True,False,
Ian Hunter (actor),1900-06-13,1900-01-01T00:00:00+02:00,{1975-09-22|1975-09-23},Ian_Hunter_(actor)__1,http://dbpedia.org/resource/Ian_Hunter_(actor)__1,['actor'],True,False,
Carlo Lombardi (actor),1900-01-02,1900-01-01T00:00:00+02:00,1984-03-21,Carlo_Lombardi_(actor)__1,http://dbpedia.org/resource/Carlo_Lombardi_(actor)__1,['actor'],True,False,
Carlos Casaravilla,1900-10-12,1900-01-01T00:00:00+02:00,1981-02-17,{Actor|Carlos_Casaravilla__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Carlos_Casaravilla__1},['actor'],True,False,
Carola Neher,1900-11-02,1900-01-01T00:00:00+02:00,1942-06-26,{Actor|Carola_Neher__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Carola_Neher__1},['actor'],True,False,
Catherine Dale Owen,1900-07-28,1900-01-01T00:00:00+02:00,1965-09-07,{Actor|Catherine_Dale_Owen__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Catherine_Dale_Owen__1},['actor'],True,False,
Wilfrid Lawson (actor),1900-01-14,1900-01-01T00:00:00+02:00,1966-10-10,Wilfrid_Lawson_(actor)__1,http://dbpedia.org/resource/Wilfrid_Lawson_(actor)__1,['actor'],True,False,
Clive Evatt,1900-06-06,1900-01-01T00:00:00+02:00,1984-09-15,Politician,http://dbpedia.org/resource/Politician,['politician'],False,True,
Josef Sieber,1900-04-28,1900-01-01T00:00:00+02:00,1962-12-03,{Actor|Josef_Sieber__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Josef_Sieber__1},['actor'],True,False,
Jack Livesey,1901-06-11,1901-01-01T00:00:00+02:00,1961-10-12,{Actor|Jack_Livesey__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Jack_Livesey__1},['actor'],True,False,
Erich Fiedler,{1901-01-01T00:00:00+02:00|1901-03-15},1901-01-01T00:00:00+02:00,{1981-01-01T00:00:00+02:00|1981-05-19},{Actor|Erich_Fiedler__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Erich_Fiedler__1},['actor'],True,False,
Magnus Kesster,1901-07-29,1901-01-01T00:00:00+02:00,1975-04-15,{Actor|Magnus_Kesster__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Magnus_Kesster__1},['actor'],True,False,
Wolfgang Zilzer,1901-01-20,1901-01-01T00:00:00+02:00,1991-06-26,{Actor|Wolfgang_Zilzer__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Wolfgang_Zilzer__1},['actor'],True,False,
Fritiof Billquist,1901-05-05,1901-01-01T00:00:00+02:00,1972-04-21,{Actor|Fritiof_Billquist__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Fritiof_Billquist__1},['actor'],True,False,
Pauline Starke,1901-01-10,1901-01-01T00:00:00+02:00,1977-02-03,{Actor|Pauline_Starke__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Pauline_Starke__1},['actor'],True,False,
Dina Perbellini,1901-01-14,1901-01-01T00:00:00+02:00,1984-04-02,{Actor|Dina_Perbellini__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Dina_Perbellini__1},['actor'],True,False,
Donald Cook (actor),1901-09-26,1901-01-01T00:00:00+02:00,1961-10-01,Donald_Cook_(actor)__1,http://dbpedia.org/resource/Donald_Cook_(actor)__1,['actor'],True,False,
Dorothy Ellicott,1901-01-01T00:00:00+02:00,1901-01-01T00:00:00+02:00,1990-01-01T00:00:00+02:00,{Historian|Nursing|Politician|Gibraltar Museum|Dorothy_Ellicott__1},{http://dbpedia.org/resource/Historian|http://dbpedia.org/resource/Nursing|http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Gibraltar_Museum|http://dbpedia.org/resource/Dorothy_Ellicott__1},"['politician', 'sing']",False,True,
Rudolf Slánský,1901-07-31,1901-01-01T00:00:00+02:00,1952-12-03,{Politician|Rudolf_Sl%C3%A1nsk%C3%BD__1},{http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Rudolf_Sl%C3%A1nsk%C3%BD__1},['politician'],False,True,
Rudy Vallée,1901-07-28,1901-01-01T00:00:00+02:00,1986-07-03,{Entertainment|Bandleader|Actor|Singing},{http://dbpedia.org/resource/Entertainment|http://dbpedia.org/resource/Bandleader|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing},"['actor', 'sing']",True,False,
Mira Zimińska,{1901-01-01T00:00:00+02:00|1901-02-22},1901-01-01T00:00:00+02:00,{1997-01-01T00:00:00+02:00|1997-01-26},{Actor|Mira_Zimi%C5%84ska__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Mira_Zimi%C5%84ska__1},['actor'],True,False,
Tsumasaburō Bandō,1901-12-13,1901-01-01T00:00:00+02:00,1953-07-07,{Actor|Tsumasabur%C5%8D_Band%C5%8D__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Tsumasabur%C5%8D_Band%C5%8D__1},['actor'],True,False,
Sebastian Kunjukunju Bhagavathar,1901-02-09,1901-01-01T00:00:00+02:00,1985-01-01T00:00:00+02:00,{Actor|Singing|Sebastian_Kunjukunju_Bhagavathar__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing|http://dbpedia.org/resource/Sebastian_Kunjukunju_Bhagavathar__1},"['actor', 'sing']",True,False,
Seraj Munir,1901-01-01T00:00:00+02:00,1901-01-01T00:00:00+02:00,1957-01-01T00:00:00+02:00,{Actor|Seraj_Munir__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Seraj_Munir__1},['actor'],True,False,
Hans Stüwe,{1901-01-01T00:00:00+02:00|1901-05-14},1901-01-01T00:00:00+02:00,{1976-01-01T00:00:00+02:00|1976-05-13},{Actor|Hans_St%C3%BCwe__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Hans_St%C3%BCwe__1},['actor'],True,False,
Harry A. Corey,1901-03-12,1901-01-01T00:00:00+02:00,1989-01-22,{Lumber|Politician|Real estate|Harry_A._Corey__1|Harry_A._Corey__2},{http://dbpedia.org/resource/Lumber|http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Real_estate|http://dbpedia.org/resource/Harry_A._Corey__1|http://dbpedia.org/resource/Harry_A._Corey__2},['politician'],False,True,
Harry Halm,1901-01-17,1901-01-01T00:00:00+02:00,1980-01-01T00:00:00+02:00,{Actor|Harry_Halm__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Harry_Halm__1},['actor'],True,False,
Helen Ferguson,1901-07-23,1901-01-01T00:00:00+02:00,1977-03-14,{Actor|Publicist|Helen_Ferguson__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Publicist|http://dbpedia.org/resource/Helen_Ferguson__1},['actor'],True,False,
Koji Shima,1901-02-16,1901-01-01T00:00:00+02:00,1986-09-10,{Actor|Film director|Screenwriter|Koji_Shima__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Film_director|http://dbpedia.org/resource/Screenwriter|http://dbpedia.org/resource/Koji_Shima__1},['actor'],True,False,
Marcelle Chantal,1901-02-09,1901-01-01T00:00:00+02:00,1960-03-11,{Actor|Marcelle_Chantal__1|Marcelle_Chantal__2},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Marcelle_Chantal__1|http://dbpedia.org/resource/Marcelle_Chantal__2},['actor'],True,False,
Maria Koppenhöfer,1901-12-11,1901-01-01T00:00:00+02:00,1948-11-29,{Actor|Maria_Koppenh%C3%B6fer__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Maria_Koppenh%C3%B6fer__1},['actor'],True,False,
James Dunn (actor),1901-11-02,1901-01-01T00:00:00+02:00,{1967-09-01|1967-09-03},{Actor|Vaudeville|James_Dunn_(actor)__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Vaudeville|http://dbpedia.org/resource/James_Dunn_(actor)__1},['actor'],True,False,
James Murray (American actor),1901-02-09,1901-01-01T00:00:00+02:00,1936-07-11,{Actor|James_Murray_(American_actor)__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/James_Murray_(American_actor)__1},['actor'],True,False,
James Raglan,1901-01-06,1901-01-01T00:00:00+02:00,1961-11-15,{Actor|James_Raglan__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/James_Raglan__1},['actor'],True,False,
Jan Kurnakowicz,1901-01-27,1901-01-01T00:00:00+02:00,1968-10-04,{Actor|Jan_Kurnakowicz__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Jan_Kurnakowicz__1},['actor'],True,False,
Jan de Quay,1901-08-26,1901-01-01T00:00:00+02:00,1985-07-04,{Politician|Psychologist|Professor},{http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Psychologist|http://dbpedia.org/resource/Professor},['politician'],False,True,
Jaroslav Marvan,{1901-12-11|1911-12-11},{1901-01-01T00:00:00+02:00|1911-01-01T00:00:00+02:00},1974-05-21,{Actor|Jaroslav_Marvan__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Jaroslav_Marvan__1},['actor'],True,False,
Elena Lunda,1901-02-21,1901-01-01T00:00:00+02:00,1947-12-09,{Actor|Elena_Lunda__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Elena_Lunda__1},['actor'],True,False,
John Bannerman Baron Bannerman of Kildonan,1901-09-01,1901-01-01T00:00:00+02:00,1969-05-10,{Politician|Life peer},{http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Life_peer},['politician'],False,True,
Anthony Holles (actor),1901-01-17,1901-01-01T00:00:00+02:00,1950-03-04,Actor,http://dbpedia.org/resource/Actor,['actor'],True,False,
Anthony Kimmins,1901-11-10,1901-01-01T00:00:00+02:00,1964-01-01T00:00:00+02:00,{Actor|Film director|Playwright|Screenwriter|Film producer|Anthony_Kimmins__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Film_director|http://dbpedia.org/resource/Playwright|http://dbpedia.org/resource/Screenwriter|http://dbpedia.org/resource/Film_producer|http://dbpedia.org/resource/Anthony_Kimmins__1},['actor'],True,False,
Pat Aherne,1901-01-06,1901-01-01T00:00:00+02:00,1970-09-30,{Actor|Pat_Aherne__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Pat_Aherne__1},['actor'],True,False,
Ramakrishna Ranga Rao of Bobbili,1901-02-20,1901-01-01T00:00:00+02:00,1978-03-10,Politician,http://dbpedia.org/resource/Politician,['politician'],False,True,
R. Sugathan,1901-12-23,1901-01-01T00:00:00+02:00,1970-02-14,{Trade union|Politician|Teacher},{http://dbpedia.org/resource/Trade_union|http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Teacher},['politician'],False,True,
Richard Law 1st Baron Coleraine,1901-02-27,1901-01-01T00:00:00+02:00,1980-11-15,{Politician|Richard_Law_1st_Baron_Coleraine__1},"{http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Richard_Law,_1st_Baron_Coleraine__1}",['politician'],False,True,
David Burns (actor),{1901-06-21|1902-06-22},{1901-01-01T00:00:00+02:00|1902-01-01T00:00:00+02:00},1971-03-12,{Actor|David_Burns_(actor)__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/David_Burns_(actor)__1},['actor'],True,False,
Gerrit Jan van Heuven Goedhart,1901-03-19,1901-01-01T00:00:00+02:00,1956-07-08,{Journalism|Politician|Diplomacy},{http://dbpedia.org/resource/Journalism|http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Diplomacy},['politician'],False,True,
Mitsuko Yoshikawa,1901-06-21,1901-01-01T00:00:00+02:00,1991-08-08,{Actor|Mitsuko_Yoshikawa__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Mitsuko_Yoshikawa__1},['actor'],True,False,
Ben Blue,1901-09-12,1901-01-01T00:00:00+02:00,1975-03-07,{Actor|Comedian|Ben_Blue__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Comedian|http://dbpedia.org/resource/Ben_Blue__1},['actor'],True,False,
Ben Davidson (politician),1901-01-01T00:00:00+02:00,1901-01-01T00:00:00+02:00,1999-01-01T00:00:00+02:00,{Politician|Ben_Davidson_(politician)__1},{http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Ben_Davidson_(politician)__1},['politician'],False,True,
Betty Bird,{1901-01-01T00:00:00+02:00|1901-06-18},1901-01-01T00:00:00+02:00,{1998-01-01T00:00:00+02:00|1998-03-04},{Actor|Betty_Bird__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Betty_Bird__1},['actor'],True,False,
Brian Donlevy,1901-02-09,1901-01-01T00:00:00+02:00,1972-04-05,{Actor|Brian_Donlevy__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Brian_Donlevy__1},['actor'],True,False,
Vittorio De Sica,1901-07-07,1901-01-01T00:00:00+02:00,1974-11-13,{Actor|Film director|Vittorio_De_Sica__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Film_director|http://dbpedia.org/resource/Vittorio_De_Sica__1},['actor'],True,False,
Jester Hairston,1901-07-09,1901-01-01T00:00:00+02:00,2000-01-18,{Arrangement|Actor|Songwriter|Composer|Jester_Hairston__1},{http://dbpedia.org/resource/Arrangement|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Songwriter|http://dbpedia.org/resource/Composer|http://dbpedia.org/resource/Jester_Hairston__1},"['actor', 'songwriter']",True,False,
Joanna Roos,1901-01-11,1901-01-01T00:00:00+02:00,1989-05-13,{Actor|Playwright},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Playwright},['actor'],True,False,
Allyn Joslyn,1901-07-21,1901-01-01T00:00:00+02:00,1981-01-21,{Actor|Allyn_Joslyn__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Allyn_Joslyn__1},['actor'],True,False,
Andrei Kostrichkin,1901-08-24,1901-01-01T00:00:00+02:00,1973-02-28,{Actor|Andrei_Kostrichkin__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Andrei_Kostrichkin__1},['actor'],True,False,
Andrews Engelmann,{1901-01-01T00:00:00+02:00|1901-03-23},1901-01-01T00:00:00+02:00,{1992-01-01T00:00:00+02:00|1992-02-25},{Actor|Andrews_Engelmann__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Andrews_Engelmann__1},['actor'],True,False,
Lee Strasberg,1901-11-17,1901-01-01T00:00:00+02:00,1982-02-17,{Actor|Theatre director|Lee_Strasberg__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Theatre_director|http://dbpedia.org/resource/Lee_Strasberg__1},['actor'],True,False,
Leon Shamroy,1901-07-16,1901-01-01T00:00:00+02:00,1974-07-07,{Cinematographer|Leon_Shamroy__1},{http://dbpedia.org/resource/Cinematographer|http://dbpedia.org/resource/Leon_Shamroy__1},['president'],False,True,A.S.C. President (1947-48)
Llewellyn Rees,1901-06-18,1901-01-01T00:00:00+02:00,1994-01-07,{Actor|Llewellyn_Rees__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Llewellyn_Rees__1},['actor'],True,False,
Martin Walker (actor),1901-07-27,1901-01-01T00:00:00+02:00,1955-09-18,Martin_Walker_(actor)__1,http://dbpedia.org/resource/Martin_Walker_(actor)__1,['actor'],True,False,
Maurice Evans (actor),1901-06-03,1901-01-01T00:00:00+02:00,1989-03-12,Maurice_Evans_(actor)__1,http://dbpedia.org/resource/Maurice_Evans_(actor)__1,['actor'],True,False,
Merle Tottenham,1901-01-22,1901-01-01T00:00:00+02:00,1958-07-18,{Actor|Merle_Tottenham__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Merle_Tottenham__1},['actor'],True,False,
Nino Besozzi,1901-02-06,1901-01-01T00:00:00+02:00,1971-02-02,{Actor|Nino_Besozzi__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Nino_Besozzi__1},['actor'],True,False,
Ian Wilson (actor),1901-07-02,1901-01-01T00:00:00+02:00,1987-01-01T00:00:00+02:00,Ian_Wilson_(actor)__1,http://dbpedia.org/resource/Ian_Wilson_(actor)__1,['actor'],True,False,
Cliff Lyons (actor),1901-07-01,1901-01-01T00:00:00+02:00,1974-01-06,{Stunt performer|Actor|Cliff_Lyons_(actor)__1|Cliff_Lyons_(actor)__2},{http://dbpedia.org/resource/Stunt_performer|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Cliff_Lyons_(actor)__1|http://dbpedia.org/resource/Cliff_Lyons_(actor)__2},['actor'],True,False,
Safet Butka,1901-08-10,1901-01-01T00:00:00+02:00,1943-09-19,{Politician|Resistance movement|Teacher},{http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Resistance_movement|http://dbpedia.org/resource/Teacher},['politician'],False,True,
