rdf-schema#label,birthDate,birthYear,occupation_label,occupation,Occupation_g,Actor,Politician,Athlete,deathDate,deathCause_label,deathCause,Cause_of_Death_cat,title
Tom Dugan (American actor),1950-01-01T00:00:00+02:00,{1950-01-01T00:00:00+02:00|2011-01-01T00:00:00+02:00},{Actor|Tom_Dugan_(American_actor)__1|Theater_actor},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Tom_Dugan_(American_actor)__1|http://dbpedia.org/resource/Theater_actor},['actor'],True,False,False,,,,,
Louis George (politician),1950-10-10,1950-01-01T00:00:00+02:00,,,['politician'],False,True,False,2014-01-02,,,,
Lourdes Chacón,1950-02-14,1950-01-01T00:00:00+02:00,{Dance|Actor|Singing|Lourdes_Chac%C3%B3n__1|Lourdes_Chac%C3%B3n__2|Lourdes_Chac%C3%B3n__3},{http://dbpedia.org/resource/Dance|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing|http://dbpedia.org/resource/Lourdes_Chac%C3%B3n__1|http://dbpedia.org/resource/Lourdes_Chac%C3%B3n__2|http://dbpedia.org/resource/Lourdes_Chac%C3%B3n__3},"['actor', 'sing']",True,False,False,,,,,
Luis Contreras (actor),1950-09-18,1950-01-01T00:00:00+02:00,Luis_Contreras_(actor)__1,http://dbpedia.org/resource/Luis_Contreras_(actor)__1,['actor'],True,False,False,{2004-06-20|2004-09-20},,,,
Magdalena Matte,1950-01-01T00:00:00+02:00,1950-01-01T00:00:00+02:00,{Civil engineering|Politician|Businessperson},{http://dbpedia.org/resource/Civil_engineering|http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Businessperson},['politician'],False,True,False,,,,,
Malcolm Kerr (politician),1950-04-18,1950-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
Mallory Factor,1950-01-01T00:00:00+02:00,1950-01-01T00:00:00+02:00,,,['actor'],True,False,False,,,,,
Mamadou Diakité (politician),1950-01-01T00:00:00+02:00,1950-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
Googoosh,{1950-05-05|1951-02-07},1951-01-01T00:00:00+02:00,Actor,http://dbpedia.org/resource/Actor,['actor'],True,False,False,,,,,
Goutam Ghose,1950-07-24,1950-01-01T00:00:00+02:00,{Actor|Film director|Goutam_Ghose__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Film_director|http://dbpedia.org/resource/Goutam_Ghose__1},['actor'],True,False,False,,,,,
Hafeez Contractor,1950-01-01T00:00:00+02:00,1950-01-01T00:00:00+02:00,,,['actor'],True,False,False,,,,,
Wolf Muser,1950-10-23,1950-01-01T00:00:00+02:00,{Actor|Wolf_Muser__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Wolf_Muser__1},['actor'],True,False,False,,,,,
Y. G. Mahendra,{1950-01-09|1950-01-21},1950-01-01T00:00:00+02:00,{Actor|Playwright|Singing|Y._G._Mahendra__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Playwright|http://dbpedia.org/resource/Singing|http://dbpedia.org/resource/Y._G._Mahendra__1},"['actor', 'sing']",True,False,False,,,,,
Yasmeen Ismail,1950-03-28,1950-01-01T00:00:00+02:00,{Actor|Yasmeen_Ismail__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Yasmeen_Ismail__1},['actor'],True,False,False,2002-01-18,,,,
Zack du Plessis,1950-01-01T00:00:00+02:00,1950-01-01T00:00:00+02:00,{Actor_Comedian|Zack_du_Plessis__1},"{http://dbpedia.org/resource/Actor,_Comedian|http://dbpedia.org/resource/Zack_du_Plessis__1}",['actor'],True,False,False,2011-01-01T00:00:00+02:00,Cancer,http://dbpedia.org/resource/Cancer,Disease,
Zafar Iqbal (actor),1950-09-25,1950-01-01T00:00:00+02:00,{Actor|Zafar_Iqbal_(actor)__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Zafar_Iqbal_(actor)__1},['actor'],True,False,False,1991-04-27,,,,
Zhang Yimou,1950-11-14,1950-01-01T00:00:00+02:00,{Actor|Film director|Cinematographer|Film producer},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Film_director|http://dbpedia.org/resource/Cinematographer|http://dbpedia.org/resource/Film_producer},['actor'],True,False,False,,,,,
Fred Karger,1950-01-31,1950-01-01T00:00:00+02:00,{Actor|LGBT rights by country or territory|Political consulting},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/LGBT_rights_by_country_or_territory|http://dbpedia.org/resource/Political_consulting},['actor'],True,False,False,,,,,
Fred de Graaf,1950-02-28,1950-01-01T00:00:00+02:00,{Politician|Civil service},{http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Civil_service},['politician'],False,True,False,,,,,
Gary Frank (actor),1950-10-09,1950-01-01T00:00:00+02:00,Gary_Frank_(actor)__1,http://dbpedia.org/resource/Gary_Frank_(actor)__1,['actor'],True,False,False,,,,,
Gary Graham,1950-06-07,1950-01-01T00:00:00+02:00,{Actor|Gary_Graham__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Gary_Graham__1},['actor'],True,False,False,,,,,
Gary Jackson (politician),1950-09-11,,,,['politician'],False,True,False,,,,,
Gemma Craven,1950-06-01,1950-01-01T00:00:00+02:00,{Performing arts|Actor|Gemma_Craven__1},{http://dbpedia.org/resource/Performing_arts|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Gemma_Craven__1},['actor'],True,False,False,,,,,
Gene Reynolds (Louisiana politician),1950-01-01T00:00:00+02:00,1950-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
Patricia Johnson (athlete),1950-04-15,1950-01-01T00:00:00+02:00,,,['athlete'],False,False,True,,,,,
Patricia Mauceri,1950-04-07,1950-01-01T00:00:00+02:00,{Actor|Patricia_Mauceri__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Patricia_Mauceri__1},['actor'],True,False,False,,,,,
Patrick Hickey (politician),1950-01-01T00:00:00+02:00,1950-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
Patrick O'Malley (American politician),1950-10-22,1950-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
Paul Bell (politician),1950-10-03,1950-01-01T00:00:00+02:00,,,['politician'],False,True,False,2010-06-07,,,,
Paul Lambert (Nebraska politician),{1950-07-12|1975-10-29},1975-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
Per Morberg,{1950-06-23|1960-06-23},{1950-01-01T00:00:00+02:00|1960-01-01T00:00:00+02:00},{Actor|News presenter|Chef|Per_Morberg__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/News_presenter|http://dbpedia.org/resource/Chef|http://dbpedia.org/resource/Per_Morberg__1},['actor'],True,False,False,,,,,
Pervez Khattak,1950-01-01,1950-01-01T00:00:00+02:00,Politician,http://dbpedia.org/resource/Politician,['politician'],False,True,False,,,,,
Pete Petersen (politician),1950-12-25,1950-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
Peter Lang (politician),1950-11-19,1950-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
Peter McCauley,1950-03-08,1950-01-01T00:00:00+02:00,{Actor|Peter_McCauley__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Peter_McCauley__1},['actor'],True,False,False,,,,,
Deney Terrio,1950-06-15,1950-01-01T00:00:00+02:00,{Actor|Choreography|Television presenter|Deney_Terrio__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Choreography|http://dbpedia.org/resource/Television_presenter|http://dbpedia.org/resource/Deney_Terrio__1},['actor'],True,False,False,,,,,
Dennis Haskins,1950-11-18,1950-01-01T00:00:00+02:00,{Actor|Dennis_Haskins__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Dennis_Haskins__1},['actor'],True,False,False,,,,,
Dennis Holmes,1950-10-03,1950-01-01T00:00:00+02:00,{Child actor|Dennis_Holmes__1},{http://dbpedia.org/resource/Child_actor|http://dbpedia.org/resource/Dennis_Holmes__1},['actor'],True,False,False,,,,,
Derek de Lint,1950-07-17,1950-01-01T00:00:00+02:00,{Actor|Derek_de_Lint__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Derek_de_Lint__1},['actor'],True,False,False,,,,,
Don Baker (musician),1950-08-26,1950-01-01T00:00:00+02:00,{Actor|Musician|Singing|Songwriter},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Musician|http://dbpedia.org/resource/Singing|http://dbpedia.org/resource/Songwriter},"['actor', 'musician', 'sing', 'songwriter']",True,False,False,,,,,
Doug Green (Louisiana politician),1950-01-01T00:00:00+02:00,1950-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
Doug Stone (voice actor),1950-12-27,1950-01-01T00:00:00+02:00,{Voice acting|Doug_Stone_(voice_actor)__1},{http://dbpedia.org/resource/Voice_acting|http://dbpedia.org/resource/Doug_Stone_(voice_actor)__1},['actor'],True,False,False,,,,,
Roger Ballenger,1950-09-25,1950-01-01T00:00:00+02:00,{Ranch|Electrical contractor},{http://dbpedia.org/resource/Ranch|http://dbpedia.org/resource/Electrical_contractor},['actor'],True,False,False,,,,,
Roger Martin (actor),1950-01-01T00:00:00+02:00,1950-01-01T00:00:00+02:00,,,['actor'],True,False,False,,,,,
Roger Thomas (politician),1950-12-13,1950-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
Ron Walters (politician),1950-06-29,1950-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
Ronnie Dyson,1950-06-05,1950-01-01T00:00:00+02:00,{Actor|Singing},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing},"['actor', 'sing']",True,False,False,1990-11-10,,,,
Roscoe Born,1950-11-24,1950-01-01T00:00:00+02:00,{Actor|Roscoe_Born__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Roscoe_Born__1},['actor'],True,False,False,,,,,
Roy Alvarez,1950-03-23,1950-01-01T00:00:00+02:00,{Actor|Roy_Alvarez__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Roy_Alvarez__1},['actor'],True,False,False,2014-02-11,,,,
Ryoichi Hattori (politician),1950-01-01T00:00:00+02:00,1950-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
Mia De Vits,1950-03-31,1950-01-01T00:00:00+02:00,{Politician|Mia_De_Vits__1},{http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Mia_De_Vits__1},['politician'],False,True,False,,,,,
Michael Ironside,1950-02-12,1950-01-01T00:00:00+02:00,{Film editing|Actor|Film director|Playwright|Screenwriter|Voice acting|Film producer|Michael_Ironside__1},{http://dbpedia.org/resource/Film_editing|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Film_director|http://dbpedia.org/resource/Playwright|http://dbpedia.org/resource/Screenwriter|http://dbpedia.org/resource/Voice_acting|http://dbpedia.org/resource/Film_producer|http://dbpedia.org/resource/Michael_Ironside__1},['actor'],True,False,False,,,,,
Michael Moore (Australian politician),1950-04-02,1950-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
Michael Paul Chan,1950-06-26,1950-01-01T00:00:00+02:00,{Actor|Michael_Paul_Chan__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Michael_Paul_Chan__1},['actor'],True,False,False,,,,,
Michel Côté (actor),1950-06-25,1950-01-01T00:00:00+02:00,,,['actor'],True,False,False,,,,,
Michiro Endo,{1950-11-15|1950-11-16},1950-01-01T00:00:00+02:00,{Author|Actor|Musician|Singer-songwriter},{http://dbpedia.org/resource/Author|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Musician|http://dbpedia.org/resource/Singer-songwriter},"['actor', 'musician', 'sing', 'songwriter']",True,False,False,,,,,
Miguel Ángel Solá,1950-05-14,1950-01-01T00:00:00+02:00,{Actor|Miguel_%C3%81ngel_Sol%C3%A1__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Miguel_%C3%81ngel_Sol%C3%A1__1},['actor'],True,False,False,,,,,
Mike Hurst (politician),1950-03-09,1950-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
Mike Starr (actor),1950-07-29,1950-01-01T00:00:00+02:00,Mike_Starr_(actor)__1,http://dbpedia.org/resource/Mike_Starr_(actor)__1,['actor'],True,False,False,,,,,
Mike Walling,1950-07-08,1950-01-01T00:00:00+02:00,{Actor|Screenwriter|Comedian|Mike_Walling__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Screenwriter|http://dbpedia.org/resource/Comedian|http://dbpedia.org/resource/Mike_Walling__1},['actor'],True,False,False,,,,,
Tom Webster (politician),1950-07-05,1950-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
Tommy Moore (politician),1950-05-09,1950-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
Tommy Tucker (politician),1950-05-25,,,,['politician'],False,True,False,,,,,
Tony Brown (Manx politician),1950-01-05,1950-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
Tony Smith (Queensland politician),1950-07-15,1950-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
Tsutomu Isobe,1950-10-13,1950-01-01T00:00:00+02:00,{Actor|Voice acting|Tsutomu_Isobe__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Voice_acting|http://dbpedia.org/resource/Tsutomu_Isobe__1},['actor'],True,False,False,,,,,
Shūko Honami,1950-01-23,1950-01-01T00:00:00+02:00,{Actor|Sh%C5%ABko_Honami__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Sh%C5%ABko_Honami__1},['actor'],True,False,False,,,,,
Shafqat Mahmood,1950-02-19,1950-01-01T00:00:00+02:00,{Columnist|Politician|Central Superior Services of Pakistan},{http://dbpedia.org/resource/Columnist|http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Central_Superior_Services_of_Pakistan},['politician'],False,True,False,,,,,
Shahid (actor),1950-07-24,1950-01-01T00:00:00+02:00,,,['actor'],True,False,False,,,,,
Shankar Pratap Singh Bundela,1950-09-30,1950-01-01T00:00:00+02:00,{Farmer|Politician|Shankar_Pratap_Singh_Bundela__1|Shankar_Pratap_Singh_Bundela__2},{http://dbpedia.org/resource/Farmer|http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Shankar_Pratap_Singh_Bundela__1|http://dbpedia.org/resource/Shankar_Pratap_Singh_Bundela__2},"['politician', 'sing']",False,True,False,,,,,
Sheila Terry (politician),1950-06-07,1950-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
Shirley Smith (politician),1950-11-29,1950-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
Shivaji Satam,1950-04-21,1950-01-01T00:00:00+02:00,{Actor|Shivaji_Satam__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Shivaji_Satam__1},['actor'],True,False,False,,,,,
Simon Jones (actor),1950-07-27,1950-01-01T00:00:00+02:00,{Actor|Simon_Jones_(actor)__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Simon_Jones_(actor)__1},['actor'],True,False,False,,,,,
Simone Griffeth,1950-04-04,1950-01-01T00:00:00+02:00,Actor,http://dbpedia.org/resource/Actor,['actor'],True,False,False,,,,,
Slava Polunin,1950-06-12,1950-01-01T00:00:00+02:00,{Actor|Performance art|Slava_Polunin__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Performance_art|http://dbpedia.org/resource/Slava_Polunin__1},['actor'],True,False,False,,,,,
Stanley Livingston,1950-11-24,1950-01-01T00:00:00+02:00,{Actor|Stanley_Livingston__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Stanley_Livingston__1},['actor'],True,False,False,,,,,
Steven Van Zandt,1950-11-22,1950-01-01T00:00:00+02:00,{Disc jockey|Actor|Musician|Record producer|Singer-songwriter},{http://dbpedia.org/resource/Disc_jockey|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Musician|http://dbpedia.org/resource/Record_producer|http://dbpedia.org/resource/Singer-songwriter},"['actor', 'musician', 'sing', 'songwriter']",True,False,False,,,,,
Harriet Walter,1950-09-24,1950-01-01T00:00:00+02:00,{Actor|Harriet_Walter__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Harriet_Walter__1},['actor'],True,False,False,,,,,
Hassan Mehmani,1950-10-01,1950-01-01T00:00:00+02:00,{Actor|Hassan_Mehmani__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Hassan_Mehmani__1},['actor'],True,False,False,,,,,
Helmut Brandt,1950-10-24,1950-01-01T00:00:00+02:00,Politician,http://dbpedia.org/resource/Politician,['politician'],False,True,False,,,,,
Henk Krol,1950-04-01,1950-01-01T00:00:00+02:00,{Journalist|Politician|Publishing|Entrepreneurship|Activism},{http://dbpedia.org/resource/Journalist|http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Publishing|http://dbpedia.org/resource/Entrepreneurship|http://dbpedia.org/resource/Activism},['politician'],False,True,False,,,,,
Hennadiy Moskal,1950-12-11,1950-01-01T00:00:00+02:00,{Politician|People's Deputy of Ukraine|Hennadiy_Moskal__1},{http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/People's_Deputy_of_Ukraine|http://dbpedia.org/resource/Hennadiy_Moskal__1},['politician'],False,True,False,,,,,Merited jurist of Ukraine Honoured lawyer of AR Crimea
Henry Goodman,1950-04-23,1950-01-01T00:00:00+02:00,{Actor|Henry_Goodman__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Henry_Goodman__1},['actor'],True,False,False,,,,,
Kong Cho Ha,1950-09-15,1950-01-01T00:00:00+02:00,Politician,http://dbpedia.org/resource/Politician,['politician'],False,True,False,,,,,
Konstantin Raikin,{1950-07-07|1950-07-08},1950-01-01T00:00:00+02:00,{Actor|Konstantin_Raikin__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Konstantin_Raikin__1},['actor'],True,False,False,,,,,
László Pintér (politician),1950-11-12,,,,['politician'],False,True,False,,,,,
L. Scott Caldwell,1950-04-17,1950-01-01T00:00:00+02:00,{Actor|L._Scott_Caldwell__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/L._Scott_Caldwell__1},['actor'],True,False,False,,,,,
Lana Gordon (Kansas politician),1950-08-20,,,,['politician'],False,True,False,,,,,
Lane Davies,1950-07-31,1950-01-01T00:00:00+02:00,{Actor|Lane_Davies__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Lane_Davies__1},['actor'],True,False,False,,,,,
Lara Flynn Boyle,{1950-03-24|1970-03-24},{1950-01-01T00:00:00+02:00|1970-01-01T00:00:00+02:00},{Actor|Lara_Flynn_Boyle__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Lara_Flynn_Boyle__1},['actor'],True,False,False,,,,,
Larry Alexander (politician),1950-06-10,1950-01-01T00:00:00+02:00,,,['politician'],False,True,False,2012-11-06,,,,
Larry Drake,1950-02-21,1950-01-01T00:00:00+02:00,{Actor|Larry_Drake__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Larry_Drake__1},['actor'],True,False,False,,,,,
Lars Johansson (politician),1950-01-01T00:00:00+02:00,1950-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
Manzar Sehbai,1950-03-19,1950-01-01T00:00:00+02:00,{Actor|Manzar_Sehbai__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Manzar_Sehbai__1},['actor'],True,False,False,,,,,
Margaret Whitton,{1950-11-30|1960-11-30},{1950-01-01T00:00:00+02:00|1960-01-01T00:00:00+02:00},{Actor|Margaret_Whitton__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Margaret_Whitton__1},['actor'],True,False,False,,,,,
Maria Nowak (politician),1950-03-31,1950-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
Marilyn Burns,1950-07-05,1950-01-01T00:00:00+02:00,{Actor|Marilyn_Burns__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Marilyn_Burns__1},['actor'],True,False,False,,,,,
Mark Andrew (politician),1950-07-15,1950-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
Mark Northover,1950-03-27,1950-01-01T00:00:00+02:00,{Actor|Mark_Northover__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Mark_Northover__1},['actor'],True,False,False,2004-06-06,,,,
Mark White (Tennessee politician),1950-03-11,1950-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
James Daughton,1950-06-27,1950-01-01T00:00:00+02:00,{Actor|James_Daughton__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/James_Daughton__1},['actor'],True,False,False,,,,,
James Fulton (Canadian politician),1950-01-22,1950-01-01T00:00:00+02:00,,,['politician'],False,True,False,2008-12-21,,,,
James Porter (Australian politician),1950-02-19,1950-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
Ed Flanagan (politician),1950-12-18,1950-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
Ed Harris,1950-11-28,1950-01-01T00:00:00+02:00,{Actor|Film director|Screenwriter|Ed_Harris__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Film_director|http://dbpedia.org/resource/Screenwriter|http://dbpedia.org/resource/Ed_Harris__1},['actor'],True,False,False,,,,,
Ed Thompson (Texas politician),1950-01-01T00:00:00+02:00,1950-01-01T00:00:00+02:00,State Farm Insurance,http://dbpedia.org/resource/State_Farm_Insurance,['politician'],False,True,False,,,,,
Eddie Ng (politician),1950-01-01T00:00:00+02:00,1950-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
Eduardo Verano de la Rosa,1950-10-08,1950-01-01T00:00:00+02:00,Politician,http://dbpedia.org/resource/Politician,['politician'],False,True,False,,,,,
Edward Jones (NC politician),1950-03-11,,,,['politician'],False,True,False,2012-12-14,,,,
Edward Leigh,1950-07-20,1950-01-01T00:00:00+02:00,Politician,http://dbpedia.org/resource/Politician,['politician'],False,True,False,,,,,
Eiji Okuda,1950-03-18,1950-01-01T00:00:00+02:00,{Actor|Film director|Eiji_Okuda__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Film_director|http://dbpedia.org/resource/Eiji_Okuda__1},['actor'],True,False,False,,,,,
John Bowe (actor),1950-02-01,1950-01-01T00:00:00+02:00,,,['actor'],True,False,False,,,,,
John Carter (New Zealand politician),1950-05-08,1950-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
John Carty (Irish politician),1950-08-12,1950-01-01T00:00:00+02:00,,,['politician'],False,True,False,2014-01-30,,,,
John Cleveland (politician),1950-01-30,1950-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
John Cobb (Australian politician),1950-02-11,1950-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
John Drew (American actor),1950-12-03,1950-01-01T00:00:00+02:00,,,['actor'],True,False,False,,,,,
John F. Kelly (politician),1950-01-01T00:00:00+02:00,1950-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
John Harman (British politician),1950-07-30,1950-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
John Laird (American politician),1950-03-29,1950-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
John McInnis (Alberta politician),1950-10-19,1950-01-01T00:00:00+02:00,,,['politician'],False,True,False,2003-11-26,,,,
Joseph McNamara (Rhode Island politician),1950-09-07,1950-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
Juan Carlos Romero (politician),1950-11-16,1950-01-01T00:00:00+02:00,,,['politician'],False,True,False,,,,,
